MLA-C01 • DOMAIN 1,GHÉP TÌNH HUỐNG,Các tình huống được diễn giải để ôn tập; không ghi là đáp án chính thức của bộ đề.,,,,,,,,,
62 mẫu ghép • 12 cột,Đọc C:D → chọn ở E,Ảnh 4 và 5 trùng nhau: hợp nhất thành M01–M03 (Token / Embedding / RAG).,,,,,,,,,
Keyword: B • Giải thích: F,Phương án nhiễu: G,"Các câu về regularization, chọn thuật toán và luồng train/deploy đầy đủ được dành cho domain tương ứng.",,,,,,,,,
Đối chiếu: 14/09/2026,Nguồn: K • Task: I,M43–M62: Validate Data; liên hệ P01–P42. Tự diễn giải để ôn tập.,,,,,,,,,
Key / Mẫu ghép,Keyword nhận diện,Situation / Prompt (EN),Tình huống (VI),Đáp án / Ghép phù hợp,Vì sao chọn,Phân biệt / Phương án nhiễu,Liên hệ quy trình / Điểm nhớ,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
M30 • Giữ cụm hai từ,"• Consecutive pair
• Bigram
• Local order",Capture phrases such as “helpful staff” or “late delivery” that isolated word counts miss.,Giữ tín hiệu từ các cụm như “helpful staff” hoặc “late delivery” mà đếm từng từ dễ bỏ sót.,N-gram với n=2 — bigram,Trượt cửa sổ hai token liên tiếp và đếm mỗi cặp. Mô hình có thể phân biệt một tổ hợp cụ thể với việc hai từ chỉ xuất hiện rời rạc.,Binning/log áp dụng lên số; BoW unigram không giữ cặp. Bigram không tự hiểu toàn bộ ngữ nghĩa hay cấu trúc câu.,P26. Cần vocabulary nhất quán và kiểm soát số cụm hiếm.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
"M31 • Ít chiều hơn, giữ nhiều biến thiên","• Maximum variance
• New components
• Projection",Reduce many correlated numeric features while retaining much of their variation.,Giảm nhiều feature số tương quan và giữ phần lớn biến thiên của dữ liệu.,Principal component analysis (PCA),"Tạo các trục mới là tổ hợp tuyến tính của đầu vào, xếp theo phương sai giữ lại. Fit trên train và dùng cùng phép chiếu cho các tập khác.",Feature selection giữ cột gốc; scaling không giảm số chiều; feature splitting có thể tăng chiều. Variance cao không chắc là tín hiệu nhãn tốt.,P27. Đánh đổi hiệu quả tính toán với khả năng giải thích và thông tin mất đi.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M32 • LLM từ chối đầu vào quá dài,"• Tokens
• Context window
• Request budget",A foundation model rejects a long transcript because its input exceeds the allowed context.,Foundation model từ chối transcript dài vì ngữ cảnh vượt giới hạn.,Số token vượt context window / input budget của model,"Cần đếm bằng tokenizer tương thích và xét các phần khác trong request. Có thể loại nhiễu, chọn phần liên quan hoặc chia văn bản hợp lý.","Không suy ra từ số câu, số từ hay MB một cách cố định. Batch size là số mẫu xử lý trong bối cảnh khác, không đồng nghĩa context window.",P29. Đếm token sau xử lý và giữ đủ ngữ cảnh ở mỗi phần.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M33 • Chunk trộn các chủ đề không liên quan,"• Topic shift
• Meaning-based boundary",Fixed chunks from a long manual often mix unrelated topics and reduce retrieval relevance.,Các chunk cắt đều từ manual dài trộn nhiều chủ đề khiến truy xuất kém liên quan.,Cân nhắc semantic chunking,Chọn ranh giới dựa vào thay đổi ngữ nghĩa để giữ các câu liên quan cùng nhau. Cần đánh giá trên câu hỏi thực tế và giới hạn kích thước.,Chọn chunk lớn hơn có thể tăng nhiễu; no chunking giữ toàn tài liệu nên không giải quyết manual dài. Semantic vẫn có thể chia chưa đúng và phát sinh chi phí.,P30. “Topic coherence” là keyword chính; không coi đây là bảo đảm luôn tốt hơn.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M34 • Tìm đoạn nhỏ nhưng trả ngữ cảnh lớn,"• Child match
• Parent context
• Hierarchical",Retrieve a precise short passage while providing the model with its surrounding section.,Tìm đúng đoạn ngắn nhưng đưa cả mục bao quanh để mô hình đủ ngữ cảnh.,Hierarchical chunking,Lập cấu trúc parent-child; truy xuất khớp child rồi có thể dùng parent để lấy ngữ cảnh rộng. Phải quản lý liên kết và tránh parent lặp.,"Fixed-size không tự tạo quan hệ cha/con; overlap chỉ lặp ranh giới, không phải hierarchy. Nhiều child cùng parent có thể làm số kết quả cuối ít hơn số yêu cầu.","P30. Nhớ “small for precision, parent for context”.",1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M35 • Mỗi file đã là một FAQ hoàn chỉnh,"• Short self-contained document
• One chunk per file","Each source file already contains one short, complete FAQ entry.","Mỗi file đã chứa một mục FAQ ngắn, tự đầy đủ ý nghĩa.","No chunking, nếu phù hợp giới hạn model",Giữ nguyên một tài liệu như đơn vị embedding và retrieval có thể tránh cắt mất liên kết câu hỏi–đáp án.,No chunking không bỏ qua embedding/index. Không áp cách này cho mọi file dài; còn phải kiểm tra giới hạn token và tính năng citation của công cụ.,P30. Phân biệt file đã được chia trước với manual nguyên khối.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M36 • Dataset có câu hỏi và đáp án chuẩn,"• Prompt-response pairs
• Supervised examples
• JSONL",Prepare approved input-output examples that teach a model a task-specific response style.,Chuẩn bị ví dụ đầu vào–đầu ra được duyệt để model học cách trả lời tác vụ cụ thể.,Dataset cho supervised fine-tuning,"Mỗi record biểu diễn yêu cầu và đáp án mong muốn; cần chính xác, đại diện, nhất quán và có validation tách riêng. Xuất theo schema model.","Continued pre-training dùng corpus không nhãn; RAG index tài liệu để retrieval, không dùng các pairs này để thay trọng số trong bước ingest.",P31. Trong D1 học loại và chất lượng dữ liệu; bước huấn luyện thuộc D2.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M37 • Kho tài liệu chuyên ngành không nhãn,"• Unlabeled domain corpus
• Clean / deduplicate",Prepare a broad collection of unlabeled technical documents for domain adaptation.,"Chuẩn bị tập tài liệu kỹ thuật rộng, không có cặp nhãn đáp án, cho mục đích thích nghi miền.",Corpus cho continued pre-training,"Tập trung làm sạch, loại trùng, quyền sử dụng, dữ liệu nhạy cảm và độ bao phủ thuật ngữ. Định dạng theo model hỗ trợ.","Không cần ép mỗi đoạn thành Q&A giả nếu mục tiêu là continued pre-training. Cùng corpus cũng có thể dùng cho RAG, nhưng phải chuẩn bị chunk/index theo mục tiêu đó.","P32. Chọn theo mục tiêu sử dụng, không chỉ nhìn tài liệu có hay không có nhãn.",1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M38 • Prompt để teacher tạo ví dụ,"• Teacher → responses → student
• Representative prompts",Provide realistic prompts so a teacher model can generate examples for a smaller student.,Cung cấp prompt thực tế để teacher tạo ví dụ cho student nhỏ hơn.,Dữ liệu đầu vào cho distillation,Prompt cần đại diện workload mà student sẽ gặp; chất lượng/độ đa dạng của prompt quyết định phạm vi dữ liệu teacher tạo ra.,"Không phải PCA giảm chiều, nén file hoặc chỉ chunk tài liệu. Teacher response vẫn cần đánh giá; model lớn không bảo đảm mọi câu đều đúng.",P33. Chuẩn bị prompts là D1; chạy và đánh giá distillation là D2.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M39 • Quét S3 hay tìm span trong text,"• Macie discovery
• Comprehend entity offsets",Choose tools for discovering sensitive objects in S3 and locating PII spans within text.,Chọn công cụ để biết object S3 nào nhạy cảm và vị trí PII nằm ở đâu trong văn bản.,S3 discovery → Macie; PII spans trong text → Comprehend,Hai mục tiêu bổ sung nhau: discovery xác định phạm vi cần xử lý; entity detection hỗ trợ quyết định và thay từng span trong bản đầu ra.,Macie không tự redact mọi object. Comprehend không phải data catalog cho toàn bộ bucket; cần ngôn ngữ/input được hỗ trợ.,P34. Tách rõ “detect” và “transform/verify” trong pipeline.,1.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M40 • Phát hiện định danh trong clinical text,"• Clinical notes
• PHI-related entities
• DetectPHI",Locate patient-identifying entities in clinical notes before preparing a research dataset.,Tìm entity có thể định danh người bệnh trong ghi chú lâm sàng trước khi tạo dataset.,Amazon Comprehend Medical — DetectPHI,"Dịch vụ cung cấp type, vị trí và confidence để hỗ trợ bước rà soát/xử lý. Cần đánh giá false negatives/false positives theo dữ liệu thật.",DetectPHI không phải tự gán nhãn chẩn đoán cho mô hình dự đoán bệnh. Phát hiện xong chưa có nghĩa dataset đã được ẩn danh hoặc đạt mọi yêu cầu áp dụng.,P34. Kiểm tra cả định danh gián tiếp và bản dữ liệu xuất ra sau xử lý.,1.3,Mở rộng từ bài học,"https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM
https://docs.aws.amazon.com/comprehend-medical/latest/dev/textanalysis-phi.html",14/09/2026
M41 • Xóa tên và email khỏi bản xuất,"• Remove spans
• Placeholder
• Released output",Replace names and emails in a released transcript with type placeholders.,Thay tên và email trong transcript phát hành bằng các nhãn loại dữ liệu.,Redaction,"Nội dung gốc của các span được loại khỏi bản xuất, phần nghiệp vụ xung quanh vẫn còn. Cần rà soát để không bỏ sót hoặc che nhầm.",Masking có thể giữ một phần giá trị/định dạng giống thật; pseudonymization giữ khả năng liên kết qua mapping. Redaction một vài span chưa chứng minh anonymization toàn bộ.,"P34. Kiểm tra source, logs và metadata riêng; chúng có thể vẫn chứa bản gốc.",1.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M42 • Có khóa khôi phục mã định danh,"• Separate key
• Re-linkable records
• Not irreversible",Replace customer identifiers with stable tokens and retain a separate recovery mapping.,"Thay mã khách hàng bằng token ổn định, vẫn giữ bảng ánh xạ để khôi phục.",Pseudonymization,Định danh trực tiếp được thay thế nhưng tổ chức vẫn có thể nối lại record với người thật bằng mapping. Cần quản lý riêng khóa/bảng ánh xạ.,Không gọi là anonymization không thể đảo ngược. Encryption cũng có khóa nhưng bảo vệ tính bí mật theo cơ chế khác; tokenization bảo mật không phải tokenizer của LLM.,P34. Nhớ “can reconnect with a separate key”.,1.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM,14/09/2026
M43 • Việc đầu tiên khi có nhiều missing values,"• Investigate why
• Missingness mechanism
• Avoid blind imputation",A dataset contains many missing inventory-duration values. What should the team determine before choosing a treatment?,"Dataset thiếu nhiều giá trị thời gian lưu kho. Trước khi chọn cách xử lý, đội cần xác định điều gì?",Điều tra vì sao dữ liệu thiếu; đánh giá cơ chế MCAR / MAR / MNAR,Nguyên nhân thu thập và quan hệ với các biến khác giúp lựa chọn bỏ hay impute có căn cứ. Missingness có thể có tín hiệu và không phải lỗi ngẫu nhiên.,"Điền0, mean hoặc xóa mọi dòng ngay là kết luận quá sớm. Không có một ngưỡng missing-rate chung đúng cho mọi bài toán.",P35: Identify → Investigate → Decide → Fit on train.,1.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
"M44 • Phân biệt MCAR, MAR và MNAR","• Independent
• Observed variables
• Missing value itself",Match the missingness mechanism: random transmission loss; absence explained by recorded attendance; high incomes omitted because they are high.,Ghép cơ chế thiếu: thất lạc truyền ngẫu nhiên; thiếu được giải thích bởi thông tin đi học đã ghi; thu nhập cao bị bỏ vì chính mức thu nhập cao.,MCAR; MAR nếu điều kiện độc lập có điều kiện đúng; MNAR,MCAR không phụ thuộc dữ liệu; MAR có thể phụ thuộc biến đã quan sát; MNAR còn phụ thuộc thông tin chưa quan sát hoặc chính giá trị đang thiếu.,"Tình huống là giả định minh họa, không tự chứng minh loại missingness. Một câu hỏi bị bỏ qua có thể vì nhạy cảm nên không mặc định MCAR.","P35; nhớ MAR = observed-data explanation, MNAR = unobserved dependence.",1.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
M45 • Giá trị điển hình khi có cực trị,"• Median
• Robust center
• Mean gets pulled","Most salaries are moderate, with a few very high salaries. Which central measure is less sensitive to these extreme values?","Đa số lương ở mức vừa phải, có vài mức rất cao. Thước đo trung tâm nào ít bị ảnh hưởng bởi cực trị?",Median — trung vị,"Median lấy vị trí giữa dãy đã sắp, nên một giá trị cực lớn không kéo nó mạnh như mean. [10,11,12,13,104] có median 12 nhưng mean 30.",Mean dùng mọi độ lớn và nhạy outlier. Chọn median không có nghĩa đã sửa được giá trị sai hay giải quyết việc trộn nhiều nhóm khác nhau.,"P36; mean = sum/count, median = middle after sorting.",1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
M46 • Extreme value thật hay lỗi,"• Natural vs artificial
• Verify source
• Don't delete all extremes","One record has age 154, and another has a verified annual salary of 3 million dollars. Should both be dropped as outliers?","Một dòng có tuổi 154, dòng khác có mức lương 3 triệu USD/năm đã xác minh. Có nên bỏ cả hai vì là outlier?",Kiểm tra/sửa giá trị tuổi đáng ngờ; giữ hoặc biến đổi mức lương hợp lệ theo mục tiêu,Artificial outlier do lỗi cần xử lý; natural outlier có thể là dữ liệu quý. Phân loại dựa trên nguồn và nghiệp vụ trước khi chọn kỹ thuật.,“Ngoại lai = sai” bỏ mất tín hiệu hiếm. Không suy mọi tuổi vượt một mức cố định đều là lỗi ở mọi miền; luôn xác minh.,P36; keyword quan trọng: valid extreme vs collection error.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
M47 • Giá trị đúng nhưng ở sai cột,"• Misplaced field
• Correct before impute
• Revalidate schema","A survey row contains Masters/PhD in the State field, and its education field is blank.",Một dòng khảo sát có Masters/PhD trong State trong khi Education để trống.,Xác minh rồi chuyển sang Education; xử lý State bị thiếu theo quy trình missing data,"Nội dung cho thấy đây là thông tin học vấn, không thuộc miền State. Sửa vị trí có căn cứ khôi phục dữ liệu thật trước khi dùng ước lượng.",Không biến Masters/PhD thành một State tùy đoán và không mặc định xóa toàn bộ dòng. Đúng kiểu string chưa đủ để hợp lệ nghiệp vụ.,P37 → P35; fix known errors before estimating missing values.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
M48 • Quality gate trong Glue ETL,"• DQDL
• Every ETL run
• Halt on configured failure",A Glue pipeline must check required fields and duplicate IDs on every run and stop downstream use when checks fail.,"Mỗi lần chạy Glue phải kiểm tra trường bắt buộc và ID trùng, rồi chặn downstream khi vi phạm.",AWS Glue Data Quality + ruleset và hành vi fail/quarantine được cấu hình,"Rule-based evaluation phù hợp kiểm tra lặp lại ở quy mô pipeline. IsComplete và IsUnique kiểm tra hai yêu cầu khác nhau, kết quả được dùng để điều khiển bước sau.",DataBrew phù hợp profiling/cleaning trực quan; Comprehend hỗ trợ text insights/PII. Rule fail không mặc định dừng mọi job nếu chưa cấu hình.,P15; Rules → Evaluate → Decision → Release verified data.,1.3,Mở rộng từ bài học,"https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA
https://docs.aws.amazon.com/glue/latest/dg/dqdl.html",14/09/2026
M49 • Chọn công cụ để khám phá và sửa dữ liệu,"• Visual profiling
• No-code cleaning
• Reusable recipe","An analyst wants to inspect missing values and distributions, then clean and normalize a dataset visually without writing code.","Analyst muốn xem missing/distribution rồi làm sạch và chuẩn hóa bằng giao diện trực quan, không viết code.",AWS Glue DataBrew; Data Wrangler cũng là công cụ chuẩn bị trực quan tùy ngữ cảnh,"Bài Data Quality nhấn mạnh DataBrew để profile, xem lỗi và áp transformations/recipes. Lựa chọn cuối cùng dựa nguồn, môi trường và các options trong câu hỏi.",Glue Data Quality tập trung đo rule/monitor; Glue Studio thiết kế ETL trực quan; Comprehend không phải công cụ tabular cleaning tổng quát.,P11/P15; phân biệt explore & clean với enforce rules every run.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
M50 • Gán nhãn ảnh công khai ở quy mô lớn,"• Public workforce
• Non-sensitive
• Cost-effective scaling",A retailer needs labels for many public catalog images that contain no sensitive information and need no specialist expertise.,"Cần gán nhãn nhiều ảnh catalog công khai, không nhạy cảm và không cần chuyên môn sâu.",Managed labeling job với public crowdsourced workforce theo tình huống bài,"Crowd theo nhu cầu phù hợp tác vụ phổ thông lớn; guideline, consolidation và QA giúp kiểm soát chất lượng thay vì thuê toàn bộ đội full-time.","Private phù hợp quyền truy cập/chuyên môn nội bộ; vendor phù hợp dịch vụ quản lý/chuyên môn. Docs hiện hành nêu MTurk đóng 30/09/2026, nên khi thực hành cần lựa chọn workforce còn khả dụng.","P14; đây là lựa chọn theo bối cảnh đề học, không bảo đảm một nhà cung cấp luôn khả dụng.",1.2,Mở rộng từ bài học,"https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA
https://docs.aws.amazon.com/sagemaker/latest/dg/sms-workforce-management.html",14/09/2026
M51 • Dữ liệu bí mật và chuyên môn nội bộ,"• Private workforce
• Restricted access
• Domain knowledge",Confidential records may only be viewed by selected internal specialists who must annotate them.,Hồ sơ bí mật chỉ được chuyên gia nội bộ được chọn xem và gán nhãn.,Private workforce với quyền truy cập giới hạn và hướng dẫn/QA,"Đội riêng cho phép chọn người, team và phạm vi tác vụ phù hợp yêu cầu của dữ liệu. Nhân lực có chuyên môn giúp xử lý ví dụ khó.",Public crowd không phù hợp giới hạn người xem. Vendor không tự được phép truy cập chỉ vì là nhà cung cấp chuyên nghiệp; cần thỏa điều kiện chia sẻ.,P14; workforce choice = sensitivity + expertise + scale + cost.,1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
M52 • Ghép kiểu annotation với đầu ra,"• Image class
• Bounding box
• Pixel mask
• Entity span",Match the target annotation: category for a whole image; object location; class for each pixel; people and organizations in text.,Ghép đầu ra: loại toàn ảnh; vị trí vật thể; lớp từng pixel; tên người/tổ chức trong text.,Image classification; bounding boxes; semantic segmentation masks; NER spans,"Mỗi kiểu nhãn mô tả một đơn vị khác nhau. Dữ liệu gán nhãn phải khớp mục tiêu model sẽ học, gồm cả tọa độ/offset và taxonomy.",Image-level labels không định vị vật thể; box không vẽ đường biên pixel. NER không tự đồng nghĩa phát hiện toàn bộ PII.,"P14; phần này là tạo nhãn ở D1, lựa chọn/huấn luyện thuật toán thuộc D2.",1.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
"M53 • Tự gán mẫu chắc chắn, người xử lý mẫu khó","• Active learning
• Confidence-based routing
• Iterative labeling","A labeling workflow auto-labels high-confidence items and sends uncertain ones to people, using new human labels to improve the next iteration.","Workflow tự gán mẫu tin cậy cao, gửi mẫu chưa chắc cho người rồi dùng nhãn mới cải thiện vòng sau.",Active learning / automated assisted labeling,"Tập trung nhân lực vào mẫu có giá trị thông tin, giảm số item phải gán hoàn toàn thủ công. Cần seed labels, validation và QA cuối cùng.",Không phải bỏ human review hoặc dùng clustering để có nhãn chuẩn chắc chắn. Ground Truth chỉ hỗ trợ các task/điều kiện nhất định và có chi phí compute.,P41; Human seed → Model validation → Confidence routing → Iterate.,1.2,Mở rộng từ bài học,"https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA
https://docs.aws.amazon.com/sagemaker/latest/dg/sms-automated-labeling.html",14/09/2026
M54 • Số mẫu theo nhóm khác tỷ lệ approve,"• CI = representation
• DPL = outcome-rate gap
• Facet ≠ target",Group a contains 800 records and group d 200. Approval rates are 70% and 55%. Match each result to the correct metric.,"Nhóm a có 800 mẫu, d có 200; tỷ lệ approve lần lượt 70% và 55%. Ghép kết quả với metric.","CI=(800−200)/(800+200)=0,6; DPL=0,70−0,55=0,15","CI dùng group counts; DPL dùng tỷ lệ positive label trong từng nhóm. DPL 0,15 là 15 điểm phần trăm chênh lệch, không phải số mẫu hoặc mức tăng tương đối 15%.",Đảo a/d làm đổi dấu. CI bằng0 không bảo đảm DPL bằng0; hai chỉ số không tự chứng minh nguyên nhân hay toàn bộ fairness.,"P16/P42; define facet, positive label, direction before interpreting.",1.3,Mở rộng từ bài học,"https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA
https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-bias-metric-class-imbalance.html
https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-data-bias-metric-true-label-imbalance.html",14/09/2026
M55 • Bỏ sensitive attribute nhưng bias còn,"• Proxy feature
• Indirect signal
• Re-measure",A team removes a sensitive attribute but related geographic features still carry information about the same groups.,Đã bỏ thuộc tính nhạy cảm nhưng các feature địa lý vẫn chứa thông tin liên quan các nhóm đó.,"Kiểm tra proxy features, cân nhắc bỏ/thay và đo lại bias","Model có thể sử dụng tín hiệu gián tiếp. Cần phân tích cả feature còn lại và feature thay thế, cùng lý do nghiệp vụ của chúng.","Không kết luận “đã bỏ cột nhạy cảm nên công bằng”. Distance to branch trong walkthrough cũng cần kiểm định, không mặc định không có proxy signal.",P16/P42; removing one column does not remove every pathway for bias.,1.3,Mở rộng từ bài học,"https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA
https://skillbuilder.aws/cds/CONTENT_VZJNEPBT86_001.000.000/assets/transcripts/3Q7GJUFV9K.txt",14/09/2026
M56 • Numeric cân bằng chưa đủ cho multimodal,"• Check every modality
• Relevant facet
• Joint coverage",Numeric patient records are balanced across age groups. The model also uses clinical notes and medical images.,Hồ sơ số cân bằng theo tuổi nhưng model còn sử dụng ghi chú lâm sàng và ảnh y khoa.,"Kiểm tra text và image bằng facet phù hợp, rồi xét dataset kết hợp",Mỗi modality có cơ chế thu thập và mức thiếu/đại diện riêng. Dữ liệu sau join cũng có thể mất một nhóm dù từng nguồn nhìn riêng có vẻ đủ.,Không giả định text/image cân bằng vì numeric cân bằng. Chuyển mọi thứ thành vector không tự loại nguồn bias.,"P40; numeric, text, image each need distribution and quality checks.",1.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
M57 • Ít ảnh lớp bệnh hiếm,"• Image augmentation
• Label-preserving transforms
• Train only",Thousands of normal images but few rare-condition images are available. Which data preparation technique fits this modality?,Có hàng nghìn ảnh bình thường nhưng ít ảnh lớp bệnh hiếm. Kỹ thuật chuẩn bị nào phù hợp modality này?,Augmentation hợp lệ trên ảnh lớp hiếm; kiểm tra nhãn và ý nghĩa miền,"Rotate/crop/flip có thể tạo đa dạng từ ảnh sẵn có khi phép biến đổi giữ nguyên nhãn. Với ảnh chuyên môn, phải xác nhận hướng/vị trí thay đổi không phá ý nghĩa.",SMOTE thẳng raw pixels không phải lựa chọn mặc định trong bài. Không augment rồi chia các bản liên quan sang train/test; crop có thể làm mất dấu hiệu mục tiêu.,"P40; split first, augment training only, transform annotation together.",1.3,Mở rộng từ bài học,"https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA
https://imbalanced-learn.org/stable/common_pitfalls.html",14/09/2026
M58 • Dataset 12% denied nhưng accuracy 88%,"• Majority-class trap
• Target imbalance
• Evaluate rare class",Only 12% of historical labels are denied. A model that always approves achieves 88% accuracy.,Chỉ 12% nhãn lịch sử là denied; model luôn approve vẫn đạt 88% accuracy.,Nhận diện mất cân bằng target và giữ đánh giá lớp hiếm; chuẩn bị train phù hợp,"Accuracy cao này chỉ phản ánh lớp đa số, không nhận diện được bất kỳ denied nào. Xem phân phối ban đầu, chất lượng nhãn và resampling phù hợp trong train.","Không nhầm tỷ lệ denied với CI theo nhóm tuổi. Không sửa validation/test thành 50/50 chỉ để báo accuracy đẹp;30% denied trong walkthrough là lựa chọn ví dụ, không quy tắc.",P13/P42; cấu hình class weights và đánh giá model chi tiết là bước D2 sau dữ liệu.,1.3,Mở rộng từ bài học,"https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA
https://skillbuilder.aws/cds/CONTENT_VZJNEPBT86_001.000.000/assets/transcripts/3Q7GJUFV9K.txt
https://imbalanced-learn.org/stable/common_pitfalls.html",14/09/2026
M59 • JSONL đúng format nhưng policy đã cũ,"• Factual validation
• Current knowledge base
• Correct or remove","Support prompt-response pairs pass JSONL parsing, but some responses cite policies that are no longer valid.",Các pair parse JSONL thành công nhưng có response nêu chính sách đã hết hiệu lực.,"Đối chiếu nguồn hiện hành, sửa hoặc loại các ví dụ sai",Syntactic validity chỉ kiểm tra cấu trúc. Fine-tuning trên nội dung cũ có thể dạy model trả lời sai một cách tự tin dù không có lỗi định dạng.,Thêm nhiều pair hoặc chạy PII filter không sửa facts. Grounding trong một bản policy cũ vẫn có thể cho qua thông tin đã lỗi thời.,P39; format + facts + safety + provenance are complementary layers.,1.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA,14/09/2026
