MLA-C01 • DOMAIN 1,THUẬT NGỮ & KEYWORD,Collect/Store + Transform + Validate Data; Domain 1.,,,,,,,,,,,,,
210 mục • 16 cột,197 mục theo chủ đề Skill Builder,"1.1 Collect, ingest & store data",,,,,,,,,,,,,
Đọc cột B: keyword cần nhớ,13 mục bổ sung Domain 1,1.2 Transform & feature engineering,,,,,,,,,,,,,
Đối chiếu: 14/09/2026,Nguồn: cột O • Ví dụ tự xây dựng,1.3 Data integrity & preparation,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Structured data,"• Fixed schema
• Rows and columns
• Typed fields",Dữ liệu có cấu trúc,Data follows a defined tabular schema.,Dữ liệu tuân theo schema bảng rõ ràng.,"Dữ liệu tuân theo cấu trúc rõ ràng với trường, kiểu dữ liệu và quan hệ xác định. Schema hỗ trợ kiểm tra dữ liệu, join, aggregation và đưa vào mô hình tabular; cần thêm ràng buộc nghiệp vụ ngoài kiểm tra kiểu.","Bảng giao dịch gồm transaction_id, customer_id, amount kiểu số và event_time kiểu timestamp.","Phù hợp nguồn RDS/Redshift hoặc tệp dạng bảng dùng cho mô hình dự báo tabular. Dễ kiểm tra uniqueness, nullability và phạm vi hợp lệ.",Cấu trúc rõ không đảm bảo dữ liệu chính xác hoặc không bias. CSV có hàng/cột nhưng vẫn cần khai báo kiểu và quy tắc parse.,Amazon RDS,Domain 1,1.1,Kiểu dữ liệu,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Time series,"• Time order
• Trend / seasonality
• Temporal dependence",Chuỗi thời gian,Observations are indexed in temporal order.,Quan sát được sắp theo thời gian.,"Chuỗi quan sát gắn với thời gian, có thể chứa xu hướng, mùa vụ, tự tương quan và khoảng trống. Cần chuẩn hóa timezone, tần suất lấy mẫu và cách xử lý sự kiện đến muộn; tạo lag/rolling features chỉ từ dữ liệu sẵn có trước thời điểm dự đoán.","Dự báo nhu cầu điện mỗi giờ bằng nhiệt độ, nhu cầu các giờ trước và đặc trưng giờ trong ngày.","Dùng cho forecasting, giám sát cảm biến và phát hiện bất thường theo thời gian. Chia train/test theo thời gian giúp mô phỏng triển khai tương lai.",Shuffle ngẫu nhiên có thể làm rò rỉ tương lai. Không tính rolling mean bao gồm nhãn tương lai hoặc dùng nội suy nhìn về phía sau thời điểm cần dự đoán.,S3; SageMaker AI,Domain 1,1.1,Kiểu dữ liệu,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
Unstructured data,"• Text / image / audio / video
• Feature extraction
• Metadata matters",Dữ liệu phi cấu trúc,Data lacks a fixed tabular representation.,Dữ liệu không sẵn ở dạng bảng có schema cố định.,"Nội dung chính không nằm sẵn trong một bảng cột cố định. Cần tiền xử lý theo modality và chuyển thành đặc trưng/embedding phù hợp mô hình; metadata như nguồn, thời gian, nhãn và quyền sử dụng vẫn phải có cấu trúc.",Ảnh lưu trong S3; manifest liên kết object URI với nhãn. Pipeline resize và chuẩn hóa ảnh trước khi huấn luyện.,"Phù hợp NLP, computer vision, giọng nói và multimodal learning. Lưu raw và phiên bản processed hỗ trợ tái lập pipeline.","Không có cấu trúc bảng không nghĩa không thể quản trị. Chỉ lưu file mà thiếu ID, nhãn hoặc lineage sẽ khó liên kết và kiểm tra dữ liệu.",Amazon S3,Domain 1,1.1,Kiểu dữ liệu,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Data lake,"• Raw and processed zones
• Multiple formats
• Schema on read",Hồ dữ liệu,A repository holds diverse data for multiple processing needs.,Kho tập trung lưu dữ liệu đa dạng để xử lý và phân tích.,"Kho lưu trữ tập trung cho dữ liệu có nhiều cấu trúc và định dạng, thường dùng S3 trên AWS. Tách lớp raw/curated, kết hợp catalog, quyền truy cập và engine xử lý để dữ liệu có thể tìm kiếm, truy vấn và dùng huấn luyện.","S3 lưu JSON sự kiện, ảnh và Parquet đã chuẩn hóa; Glue Data Catalog cung cấp metadata cho Athena và Glue.","Phù hợp giữ dữ liệu đa dạng với chi phí lưu trữ linh hoạt, nhiều nhóm cùng khai thác và tái xử lý từ dữ liệu gốc.","Data lake không tự tạo schema, kiểm tra chất lượng hoặc bảo mật. Thiếu catalog, partition và ownership có thể khiến dữ liệu khó tìm và query tốn kém.",S3; Lake Formation,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/s3/",14/09/2026
Data warehouse,"• Curated analytical data
• SQL analytics
• OLAP",Kho dữ liệu phân tích,A system organizes data for analytical queries.,Hệ thống tổ chức dữ liệu nhằm phục vụ truy vấn phân tích.,"Hệ thống tối ưu lưu trữ và truy vấn phân tích trên dữ liệu đã được mô hình hóa. Thường tổng hợp lượng lớn bản ghi để tính chỉ số, báo cáo và tạo tập đặc trưng; tối ưu bằng cách tổ chức dữ liệu và tài nguyên tính toán phù hợp.",Redshift tổng hợp doanh thu theo khách hàng trong 90 ngày để tạo đặc trưng cho mô hình churn.,Phù hợp SQL analytics và dữ liệu quan hệ có mô hình ổn định; có thể kết hợp data lake thay vì buộc chọn một trong hai.,Warehouse không phải lựa chọn mặc định cho từng request giao dịch millisecond. Dữ liệu đưa vào warehouse vẫn cần kiểm tra freshness và leakage.,Amazon Redshift,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/redshift/",14/09/2026
OLAP,"• Analytical processing
• Large scans
• Aggregation",Xử lý phân tích trực tuyến,Workloads aggregate and analyze large data sets.,"Khối lượng công việc tổng hợp, phân tích tập dữ liệu lớn.","Tối ưu truy vấn phân tích trên nhiều bản ghi, như group-by, join và thống kê lịch sử. Workload thường đọc nhiều và trả về kết quả tổng hợp; định dạng cột giúp chỉ đọc các cột cần thiết.",Tính tổng chi tiêu và số lần mua theo customer_id trong một năm để tạo training features.,"Dùng để khám phá dữ liệu, báo cáo và xây dựng dataset; Redshift và Athena là các lựa chọn theo kiến trúc dữ liệu.",Không suy ra OLAP phù hợp phục vụ mọi đặc trưng online. Query quét dữ liệu lớn thường không đáp ứng yêu cầu tra cứu đơn lẻ độ trễ thấp.,Redshift; Athena,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/redshift/",14/09/2026
OLTP,"• Transactional processing
• Short reads/writes
• Concurrency",Xử lý giao dịch trực tuyến,Workloads perform short transactional reads and writes.,Khối lượng công việc gồm đọc ghi giao dịch ngắn.,Tối ưu nhiều giao dịch nhỏ cập nhật hoặc tra cứu trạng thái hiện tại. Cần tính đúng đắn giao dịch và kiểm soát đồng thời; không nên làm giảm hiệu năng ứng dụng bằng các query phân tích nặng trên database sản xuất.,Hệ thống đơn hàng ghi một giao dịch và cập nhật tồn kho; pipeline CDC chuyển thay đổi sang kho phân tích.,"Dùng cho hệ thống nghiệp vụ tạo dữ liệu nguồn. Có thể trích xuất bằng replica, export hoặc CDC theo khả năng của engine.","OLTP/OLAP mô tả workload, không đồng nghĩa mọi relational database chỉ làm được một loại. Chọn kiến trúc theo latency, quy mô và tác động lên nguồn.",Amazon RDS,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/rds/",14/09/2026
Block storage,"• Addressable blocks
• Low-latency I/O
• Filesystem on top",Lưu trữ khối,A volume exposes addressable storage blocks.,Volume cung cấp các khối lưu trữ có thể định địa chỉ.,"Cung cấp thiết bị lưu trữ theo block để hệ điều hành định dạng và tạo filesystem hoặc ứng dụng truy cập block trực tiếp. Amazon EBS là block storage gắn với EC2 trong cùng Availability Zone, phù hợp đọc/ghi thường xuyên.","Gắn EBS vào EC2, mount thành /data để lưu dataset được tải từ S3 và các checkpoint huấn luyện.","Dùng khi workload cần ổ đĩa của máy chủ, random I/O hoặc điều chỉnh IOPS/throughput. Lựa chọn loại volume phải khớp mẫu truy cập.","Block storage không cung cấp shared file namespace như EFS. EBS Multi-Attach có điều kiện và cần ứng dụng/filesystem phối hợp ghi, không biến volume thành NAS tự động.",Amazon EBS,Domain 1,1.1,Storage,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/ebs/",14/09/2026
File storage,"• Shared filesystem
• Hierarchical paths
• NFS / POSIX access",Lưu trữ tệp,Data is accessed through a hierarchical file system.,Truy cập dữ liệu qua hệ thống tệp phân cấp.,"Tổ chức dữ liệu thành thư mục và tệp, cung cấp filesystem cho ứng dụng truy cập bằng đường dẫn. Dịch vụ file dùng chung cho nhiều máy giúp tránh sao chép nhiều dataset; hiệu năng phụ thuộc thông lượng, metadata operations và topology.",Nhiều EC2 mount EFS qua NFS để cùng đọc dataset; cụm huấn luyện dùng FSx for Lustre cho parallel I/O.,"Dùng khi ứng dụng cần API file hoặc nhiều worker chia sẻ dữ liệu. EFS nhấn mạnh chia sẻ linh hoạt, Lustre nhấn mạnh parallel filesystem cho hiệu năng cao.",File storage không đồng nghĩa mọi dịch vụ có cùng protocol hay mức hiệu năng. Nhiều client truy cập đồng thời vẫn cần xử lý locking và tránh tranh chấp ghi.,EFS; FSx,Domain 1,1.1,Storage,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/efs/",14/09/2026
Instance store,"• Ephemeral local storage
• Temporary scratch
• Host lifecycle",Ổ lưu trữ tạm trên máy chủ,Local instance-attached storage is ephemeral.,Lưu trữ cục bộ gắn với máy chủ instance và có tính tạm thời.,"Ổ đĩa cục bộ gắn với máy chủ vật lý của instance. Dữ liệu tồn tại khi reboot thông thường nhưng không được bảo đảm khi instance stop, hibernate, terminate hoặc host/ổ đĩa hỏng. Phải có bản dữ liệu bền vững ở nơi khác.",Giải nén shard dữ liệu từ S3 vào NVMe instance store để training; đẩy checkpoint định kỳ về S3 hoặc EBS.,"Dùng cho cache, shuffle, scratch và dữ liệu có thể tái tạo khi cần I/O cục bộ cao.","Không lưu bản duy nhất của dataset hoặc checkpoint quan trọng. Instance store khác EBS ở vòng đời và tính bền vững, không chỉ ở tốc độ.",Amazon EC2,Domain 1,1.1,Storage,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Object storage,"• Object + key + metadata
• API access
• Massive scale",Lưu trữ đối tượng,Data is stored as objects identified by keys.,Dữ liệu lưu thành đối tượng được nhận diện bằng khóa.,"Lưu nội dung dưới dạng object trong bucket, nhận diện bằng key và truy cập bằng API. Amazon S3 phù hợp dữ liệu raw, dataset, artifact và backup; thiết kế key/prefix, định dạng và lifecycle ảnh hưởng việc khai thác.",Lưu s3://bucket/train/date=2026-09-14/part-001.parquet; Glue/Athena đọc theo prefix/phân vùng phù hợp.,"Dùng cho data lake và dữ liệu lớn cần lưu độc lập tài nguyên compute. Có thể tải về EBS, stream hoặc tích hợp filesystem khi ứng dụng yêu cầu.",Object key có dấu / không biến S3 thành POSIX filesystem. Không giả định chỉnh sửa vài byte tại chỗ hoặc file locking như ổ đĩa thông thường.,Amazon S3,Domain 1,1.1,Storage,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/s3/",14/09/2026
Shard / partition key,"• Distribute events
• Ordering scope
• Avoid hot keys",Shard / khóa phân vùng stream,A routing key determines the shard receiving a record.,Khóa định tuyến quyết định shard nhận bản ghi.,Partition key ánh xạ bản ghi vào shard/partition để phân tán lưu lượng. Key có độ phân tán phù hợp giúp nhiều tài nguyên cùng xử lý; chọn key cũng quyết định phạm vi giữ thứ tự và nơi tập hợp trạng thái.,"Clickstream dùng user_id để giữ thứ tự theo người dùng. Nếu một user cực lớn, cần cân nhắc salting hoặc thiết kế key khác cùng hệ quả lên ordering.","Dùng khi thiết kế Kinesis/Kafka hoặc hệ thống phân tán. Chọn theo phân phối thực tế, yêu cầu ordering và khả năng mở rộng consumer.",Nhiều shard không khắc phục hoàn toàn một key quá nóng. Random key phân tán tốt nhưng có thể phá yêu cầu xử lý tuần tự theo thực thể.,Kinesis Data Streams,Domain 1,1.1,Streaming,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/streams/latest/dev/key-concepts.html",14/09/2026
Hot partition,"• Uneven traffic
• Key skew
• Local bottleneck",Phân vùng nóng,A subset of partitions receives disproportionate load.,Một số phân vùng nhận tải vượt trội so với phần còn lại.,Một hoặc vài partition nhận phần lớn lưu lượng trong khi phần khác nhàn. Hệ thống vẫn có thể throttling dù tổng công suất còn dư; nguyên nhân thường là key có phân phối lệch hoặc thiết kế bucket thời gian quá tập trung.,Dùng country làm partition key khiến hầu hết traffic dồn vào một quốc gia; hoặc tất cả sự kiện hiện tại cùng một key ngày.,"Phát hiện bằng metrics theo shard/partition và phân phối key; khắc phục bằng thay đổi key, salting, sharding phù hợp hoặc điều chỉnh capacity.",Tăng tổng tài nguyên có thể chỉ giảm triệu chứng. Salting cần chiến lược tổng hợp lại dữ liệu và có thể làm thay đổi ordering.,Kinesis; DynamoDB,Domain 1,1.1,Troubleshooting,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Throttling,"• Rate / capacity limit
• Backoff with jitter
• Partial retries",Giới hạn tốc độ yêu cầu,A service limits requests when capacity or quotas are exceeded.,Dịch vụ hạn chế yêu cầu khi vượt năng lực hoặc quota.,"Dịch vụ giới hạn request hoặc throughput để bảo vệ tài nguyên. Client cần retry có backoff/jitter, theo dõi lỗi từng bản ghi và tránh tạo bão retry. Throttling có thể do quota, partition nóng hoặc consumer xử lý không kịp.",Kinesis PutRecords trả một số record lỗi; chỉ retry record thất bại và theo dõi WriteProvisionedThroughputExceeded cùng phân phối partition key.,Dùng để phân biệt thiếu capacity với lỗi schema/quyền truy cập. Batching và phân tán key có thể giảm áp lực trước khi tăng tài nguyên.,Retry toàn bộ batch thành công một phần có thể tạo trùng. Không retry vô hạn lỗi không thể khắc phục như AccessDenied hoặc payload sai định dạng.,Kinesis; CloudWatch,Domain 1,1.1,Troubleshooting,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Approximate nearest neighbors (ANN),"• Approximate similarity search
• Recall–latency trade-off
• Vector index",Láng giềng gần đúng,Search approximates nearest vectors to improve speed.,Tìm gần đúng vector gần nhất nhằm tăng tốc.,"Tìm các vector gần query mà không tính khoảng cách chính xác với toàn bộ kho. Index giúp giảm công việc tìm kiếm, đổi lại có thể bỏ sót một phần láng giềng thật. Chất lượng phụ thuộc embedding, metric, index và tham số truy vấn.","Dùng HNSW truy vấn top-k đoạn tài liệu tương tự trong một kho RAG lớn, đo recall@k cùng latency trên bộ query đại diện.",Phù hợp semantic retrieval quy mô lớn khi exact search tốn nhiều thời gian hoặc tài nguyên.,ANN không có nghĩa kết quả luôn sai; đây là đánh đổi có thể đo. Tăng k không tự sửa embedding kém hoặc metric không khớp mô hình.,OpenSearch,Domain 1,1.1,Vector và RAG,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Cosine similarity,"• Vector direction
• Normalized dot product
• Higher = more similar",Độ tương đồng cosine,The normalized dot product measures vector direction similarity.,Tích vô hướng chuẩn hóa đo độ giống hướng của vector.,"Đo góc giữa hai vector: cos(x,y) = (x·y)/(‖x‖‖y‖). Giá trị toán học trong [-1,1] với vector khác 0; tập trung hướng hơn độ lớn. Phải dùng metric phù hợp cách embedding model được huấn luyện.","Hai vector [1,2] và [2,4] có cosine bằng 1 vì cùng hướng dù độ lớn khác nhau.",Thường dùng so sánh semantic embeddings khi hướng mã hóa nội dung. Có thể chuẩn hóa vector rồi dùng dot product tương đương.,"Vector 0 không có cosine xác định. API có thể trả distance hoặc score đã biến đổi, nên không áp ngưỡng [-1,1] cho mọi điểm số dịch vụ.",OpenSearch; pgvector,Domain 1,1.1,Vector và RAG,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Dot product,"• Direction + magnitude
• Inner product
• Normalization matters",Tích vô hướng,The sum of coordinate products scores two vectors.,Tổng tích từng cặp tọa độ chấm điểm hai vector.,"Tính tổng tích từng thành phần x·y = Σxᵢyᵢ. Điểm số chịu ảnh hưởng cả hướng lẫn độ lớn vector. Khi hai vector được chuẩn hóa L2 về độ dài 1, dot product bằng cosine similarity.","[1,0]·[10,0] = 10, lớn hơn [1,0]·[1,0] = 1 dù cả hai ứng viên cùng hướng với query.",Dùng khi embedding model hoặc hệ thống retrieval được thiết kế/huấn luyện với inner product; kiểm tra yêu cầu normalization của model.,Không dùng thay cosine một cách tùy ý cho vector chưa chuẩn hóa. Vector có norm lớn có thể được ưu tiên dù mức tương đồng về hướng thấp hơn.,OpenSearch; pgvector,Domain 1,1.1,Vector và RAG,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Euclidean distance (L2),"• Geometric distance
• Lower = nearer
• Scale sensitive",Khoảng cách Euclid,Straight-line distance measures separation between vectors.,Khoảng cách đường thẳng đo độ xa giữa vector.,"Đo khoảng cách đường thẳng: d(x,y) = √Σ(xᵢ−yᵢ)². Nhạy với đơn vị và độ lớn các chiều; chuẩn hóa hoặc scaling phải thống nhất giữa dữ liệu lập chỉ mục và query.","Khoảng cách từ [0,0] đến [3,4] bằng 5. Một chiều có giá trị hàng nghìn có thể chi phối các chiều có giá trị 0–1.",Dùng khi không gian biểu diễn và mục tiêu mô hình phù hợp khoảng cách L2; lựa chọn dựa vào model và đánh giá retrieval.,"Không mặc định L2 chỉ dành cho ảnh. Nhiều API dùng squared L2 hoặc score đảo chiều, nên phải đọc định nghĩa điểm số trước khi đặt threshold.",OpenSearch; pgvector,Domain 1,1.1,Vector và RAG,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Fixed-size chunking,"• Token / character window
• Optional overlap
• Simple boundaries",Chia đoạn kích thước cố định,Text is divided using a chosen size and overlap.,Chia văn bản theo kích thước và phần chồng lấn đã chọn.,"Chia tài liệu theo một kích thước cố định, tính bằng token hoặc ký tự tùy công cụ. Overlap giữ một phần nội dung chung giữa hai chunk để giảm mất ngữ cảnh ở ranh giới, đổi lại tăng lượng dữ liệu và chi phí embedding.","Chia mỗi chunk 500 token với overlap 50 token, sau đó kiểm tra xem câu, bảng và tiêu đề có bị cắt theo cách làm mất nghĩa hay không.",Phù hợp pipeline đơn giản và tài liệu khá đồng nhất; dễ kiểm soát giới hạn input của embedding model.,"500 token chỉ là ví dụ, không phải giá trị tối ưu chung. Chunk quá nhỏ mất ngữ cảnh; quá lớn pha loãng nội dung cần truy xuất.",Bedrock Knowledge Bases,Domain 1,1.1,Vector và RAG,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/bedrock/latest/userguide/kb-chunking.html
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
Hierarchical chunking,"• Parent–child structure
• Fine retrieval
• Broader context",Chia đoạn phân cấp,Small retrieval chunks are linked to larger context chunks.,Liên kết đoạn nhỏ để truy xuất với đoạn cha chứa ngữ cảnh rộng.,"Tạo các chunk nhỏ liên kết với các phần cha lớn hơn. Retrieval có thể tìm chunk con chính xác, sau đó đưa phần cha vào ngữ cảnh để giữ ý nghĩa đầy đủ. Cần quản lý metadata quan hệ và tránh lặp parent trong kết quả.","Tìm một đoạn con nói về EBS snapshots, rồi cung cấp mục cha giải thích backup và điều kiện khôi phục.",Phù hợp tài liệu dài có cấu trúc chương/mục và câu trả lời cần ngữ cảnh quanh đoạn khớp.,Nhiều chunk con cùng parent có thể làm số parent cuối ít hơn top-k ban đầu. Context lớn hơn cũng tăng chi phí và có thể chứa nội dung không liên quan.,Bedrock Knowledge Bases,Domain 1,1.1,Vector và RAG,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/bedrock/latest/userguide/kb-chunking.html
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
Hybrid search,"• Lexical + semantic
• Exact terms + meaning
• Score fusion",Tìm kiếm kết hợp,Keyword and semantic retrieval signals are combined.,Kết hợp tìm từ khóa với tìm kiếm ngữ nghĩa.,"Kết hợp tìm kiếm từ khóa với tìm kiếm vector. Lexical search bắt tên sản phẩm, mã lỗi, số hiệu; semantic search bắt cách diễn đạt khác cùng ý nghĩa. Cần hợp nhất hoặc rerank kết quả vì thang điểm hai cơ chế khác nhau.",Query chứa “gp3 throughput” vừa cần khớp chính xác tên gp3 vừa tìm đoạn diễn giải hiệu năng mà không lặp nguyên câu hỏi.,"Phù hợp dữ liệu có thuật ngữ chuyên ngành, mã định danh và ngôn ngữ tự nhiên; OpenSearch có thể triển khai lexical và vector retrieval.","Không cộng trực tiếp hai score bất kỳ mà không chuẩn hóa/hiệu chỉnh. Hybrid vẫn cần metadata filters, đánh giá relevance và quyền truy cập đúng.",OpenSearch Service,Domain 1,1.1,Vector và RAG,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/opensearch-service/",14/09/2026
Retrieval-augmented generation (RAG),"• Retrieve → Augment → Generate
• Grounding
• Source citations",Sinh có bổ sung truy xuất,Retrieved information is supplied as context for generation.,Truy xuất tài liệu liên quan làm ngữ cảnh cho mô hình sinh.,"Pipeline lập chỉ mục thường gồm chunk tài liệu, tạo embedding và lưu vector cùng metadata. Khi hỏi, tạo query embedding, retrieve nội dung liên quan, ghép nội dung vào prompt rồi gọi mô hình sinh câu trả lời.","Trợ lý nội bộ truy xuất hướng dẫn S3/EBS đã được duyệt, đưa các đoạn liên quan vào prompt và trả lời kèm nguồn.",Dùng để đưa kiến thức riêng hoặc cập nhật vào ứng dụng mà không phải huấn luyện lại toàn bộ mô hình cho mỗi thay đổi tài liệu.,"RAG không bảo đảm câu trả lời đúng. Retrieval kém, tài liệu lỗi thời, thiếu quyền lọc hoặc prompt injection trong nguồn đều có thể làm đầu ra sai.",Bedrock Knowledge Bases,Domain 1,1.1,Vector và RAG,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html",14/09/2026
Semantic chunking,"• Meaning-based boundaries
• Topic coherence
• Embedding cost",Chia đoạn theo ngữ nghĩa,Text boundaries follow changes in semantic similarity.,Chọn ranh giới đoạn dựa trên thay đổi ngữ nghĩa.,Chia văn bản dựa trên thay đổi ngữ nghĩa giữa câu/đoạn thay vì chỉ dùng số token cố định. Mục tiêu giữ các ý liên quan trong cùng chunk; thuật toán có thể cần embeddings và ngưỡng phát hiện ranh giới.,Giữ phần định nghĩa EBS cùng hai lợi ích của nó; bắt đầu chunk mới khi tài liệu chuyển sang EFS.,Phù hợp tài liệu có độ dài mục không đều và cần retrieval theo chủ đề. Đánh giá bằng chất lượng truy xuất thực tế so với chi phí xây dựng index.,"Không phải mọi ranh giới ngữ nghĩa đều chính xác. Vẫn phải kiểm soát kích thước tối đa theo model và xử lý bảng, danh sách, tiêu đề.",Bedrock Knowledge Bases,Domain 1,1.1,Vector và RAG,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/bedrock/latest/userguide/kb-chunking.html
https://skillbuilder.aws/learn/3AHUUNMH2X/aws-ml-engineer-associate--data-transformation-and-feature-engineering/H2K74ZEHBM",14/09/2026
Vector database,"• Embeddings + metadata
• Similarity index
• Filtered retrieval",Cơ sở dữ liệu vector,A store indexes vectors for similarity queries.,Kho dữ liệu lập chỉ mục vector để tìm kiếm độ tương đồng.,"Lưu vector số cùng ID và metadata, cung cấp tìm kiếm tương đồng theo metric/index hỗ trợ. Pipeline phải dùng embedding model nhất quán cho dữ liệu và query; khi đổi model hoặc số chiều thường phải tạo lại embeddings/index.","Lưu embedding của từng đoạn tài liệu với document_id, source_uri và access_group; query top-k có lọc nhóm được phép đọc.","Dùng cho semantic search, recommendation và RAG. Chọn theo latency, quy mô, update/delete, metadata filtering, tích hợp và chi phí.",Vector database không tự hiểu văn bản thô; cần embedding model. Lưu vector cùng số chiều vẫn chưa đủ nếu vector được tạo từ hai model khác nhau.,OpenSearch; S3 Vectors,Domain 1,1.1,Vector và RAG,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/opensearch-service/",14/09/2026
Binary encoding,"• Category → integer → binary digits
• Fewer columns
• Artificial patterns",Mã hóa nhị phân danh mục,Category identifiers are represented using binary digits.,Biểu diễn mã danh mục bằng nhiều chữ số nhị phân.,"Ánh xạ mỗi category sang mã số, rồi biểu diễn mã bằng các bit ở nhiều cột. Số cột tăng gần log₂ số category, ít hơn one-hot khi cardinality cao. Bộ ánh xạ phải được fit từ train và lưu để dùng nhất quán khi inference.",8 nhóm có thể biểu diễn bằng 3 bit nếu đánh số 0–7; số cột thực tế có thể tăng khi thư viện dành mã cho missing/unknown.,"Cân nhắc khi nhiều category khiến one-hot tạo quá nhiều cột, đồng thời đánh giá chất lượng mô hình sau encoding.",Các bit tạo cấu trúc và quan hệ nhân tạo giữa category. Không phải mọi model hiểu các mã này đúng; cần xử lý category mới và không giả định luôn tốt hơn one-hot.,Processing,Domain 1,1.2,Encoding,Bổ sung Domain 1,https://docs.aws.amazon.com/sagemaker/latest/dg/data-wrangler-transform.html,14/09/2026
