MLA-C01 • DOMAIN 2,THUẬT NGỮ & KEYWORD,Choose • Train • Customize • Evaluate,,,,,,,,,,,,,
164 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / ví dụ / điều kiện,Analyze / Evaluate: +42 mục • mở rộng 13,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Prompt caching,"• Reuse repeated prefix
• Lower input processing
• Hit / miss matters",Bộ nhớ đệm phần prompt lặp lại,Prompt caching reuses supported processing of repeated prompt content across requests.,Tái sử dụng phần xử lý prompt lặp lại giữa các request khi model/API hỗ trợ.,"Giữ static system instructions/context ở prefix, dynamic query phía sau; dùng implicit hoặc explicit caching theo hỗ trợ. Đo cache reads/writes/hit rate và chi phí thực, không chỉ bật cờ.",Chat assistant gửi cùng system prompt dài ở mọi call → cache phần chung và cắt retrieved context không cần thiết.,High-volume requests chia sẻ prefix/context; có thể giảm latency và input-token cost.,"Không phải response cache, không bỏ bước generation. Minimum tokens, TTL, pricing và cache controls khác theo model/API; hit không được bảo đảm. Docs không hỗ trợ prompt caching với batch inference API.",Amazon Bedrock,Domain 2,2.1,GenAI economics,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/prompt-caching.html",14/09/2026
Batch versus real-time inference,"• Async backlog vs interactive
• Deadline
• Separate from training batch size",Suy luận theo lô so với phản hồi tương tác,"Batch inference processes many independent requests asynchronously, whereas real-time inference serves requests requiring prompt responses.",Batch xử lý nhiều yêu cầu độc lập bất đồng bộ; real-time phục vụ yêu cầu cần phản hồi nhanh.,"Chọn theo latency SLA: tài liệu chạy qua đêm có thể batch; chatbot chờ trả lời cần interactive. Kiểm tra supported model/Region, input format và billing mode.",Tóm tắt kho tài liệu mỗi đêm → batch; trợ lý hỏi đáp trực tiếp → real-time.,Cần giảm cost cho non-interactive volume lớn hoặc đảm bảo trải nghiệm người dùng.,"Batch inference không phải batch size trong training. Bedrock batch không hỗ trợ provisioned models, tool calling hoặc multi-turn per record theo docs hiện hành.",Bedrock batch inference; Real-time model APIs,Domain 2,2.1,GenAI economics,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/batch-inference.html",14/09/2026
On-demand inference,"• Usage-based
• Variable / low volume
• No reserved capacity assumption",Suy luận theo nhu cầu,On-demand inference charges according to usage under the selected model's pricing and limits.,Tính phí theo mức sử dụng của model/mode đã chọn và chịu các giới hạn tương ứng.,"Phù hợp lưu lượng biến động, thử nghiệm hoặc nhu cầu chưa đủ ổn định để cam kết capacity. Với text token-based, tính cả input/output và các thành phần khác.",Ít request khó cần model chất lượng cao → on-demand có thể hợp lý hơn trả capacity liên tục.,So sánh với provisioned khi dự báo volume và mức sử dụng chưa ổn định.,Pay per request là cách nói giản lược: đơn vị có thể là tokens/modalities. On-demand không có nghĩa không có quotas/throttling hoặc latency cố định.,Amazon Bedrock,Domain 2,2.1,GenAI economics,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Provisioned Throughput,"• Provision capacity
• Hourly cost
• Utilization / predictability",Thông lượng được cấp trước,Provisioned Throughput reserves a supported model's processing capacity for a capacity-based price.,Cấp trước năng lực xử lý của model được hỗ trợ với chi phí theo capacity.,"Đánh giá steady demand, công suất cần thiết và mức sử dụng; có thể hữu ích cho predictable high volume. So sánh utilization và tổng giờ trả phí với on-demand, kiểm tra model/commitment phù hợp.",Workload liên tục lớn và cần capacity được bố trí trước → phân tích điểm hòa vốn rồi cân nhắc provisioned mode.,"Volume ổn định có khả năng dùng đủ năng lực đã mua, hoặc serving mode của model yêu cầu nó.","Không tự rẻ hơn hoặc đảm bảo mọi latency; idle capacity vẫn tốn phí. Bedrock batch inference không dùng provisioned models, không ghép hai cách như một cấu hình chung.",Amazon Bedrock Provisioned Throughput,Domain 2,2.1,GenAI economics,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/prov-throughput.html
https://docs.aws.amazon.com/bedrock/latest/userguide/batch-inference.html",14/09/2026
Total cost of ownership (TCO),"• Training + inference + operations
• Expected volume
• Ongoing maintenance",Tổng chi phí sở hữu và vận hành,"TCO combines development, data, training, serving, and ongoing operational costs over a relevant time horizon.","Tổng hợp chi phí phát triển, dữ liệu, training, serving và vận hành trong khoảng thời gian cần xét.","So sánh upfront cost với recurring cost; cộng data labeling, retraining, infrastructure, tokens, retrieval và công đội ngũ. Dùng volume/traffic thật để tránh tối ưu một phần nhỏ của bill.",Custom model có chi phí phát triển cao nhưng có thể rẻ mỗi prediction ở lưu lượng ổn định; managed API nhanh ra giá trị với ít nhân lực.,"Build/buy, model selection và quyết định compute/inference mode.",Không chỉ so giá token hoặc instance/giờ. Traditional ML cũng có recurring inference/retraining cost; GenAI cũng có thể có upfront customization cost.,AWS AI services; SageMaker AI; Bedrock,Domain 2,2.1,Lựa chọn giải pháp,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Grounded generation / source attribution,"• Answer from evidence
• Traceable sources
• Freshness matters",Sinh câu trả lời có căn cứ và truy nguồn,Grounded generation conditions responses on supplied evidence and can associate claims with source references.,Sinh phản hồi dựa trên evidence cung cấp và có thể liên kết phát biểu với nguồn.,"Truy xuất nguồn đáng tin/cập nhật, giới hạn answer theo evidence và trả citations khi pipeline hỗ trợ. Kiểm tra citation thực sự hỗ trợ phát biểu, không chỉ tồn tại một link.
Task 2.3: đánh giá faithfulness riêng với answer relevance. Claim đúng ngoài đời nhưng không được context hỗ trợ vẫn có thể bị coi unfaithful; nguồn sai có thể cho response faithful nhưng sai thực tế.",QA trên clinical protocols nội bộ: truy xuất đoạn liên quan và đưa nguồn để người đọc đối chiếu.,"Cần facts riêng/cập nhật và khả năng kiểm chứng trong RAG.
Xem D2-P49 để phân biệt retrieval failure, generation grounding failure và content gap.","Citation không chứng minh answer đúng nếu nguồn sai, cũ hoặc không hỗ trợ claim. Grounding không phải fine-tuning và không tự cấp quyền đọc mọi tài liệu.",Bedrock Knowledge Bases,Domain 2,2.1,RAG patterns,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
Time to value,"• Delivery deadline
• Existing capability
• Operational effort",Thời gian tạo ra giá trị sử dụng,Time to value measures how quickly a usable solution meeting the requirement can be delivered.,Thời gian đưa ra giải pháp dùng được và đạt yêu cầu nghiệp vụ.,"Tính cả data collection/labeling, implementation, evaluation và vận hành. Dịch vụ sẵn có có thể rút ngắn đáng kể nếu fit nhiệm vụ; custom cần thời gian chuẩn bị nhiều hơn.","Startup không có ML specialists, deadline một tháng và API sentiment đã đạt quality → managed service là lựa chọn khởi đầu phù hợp.",Deadline/staffing là ràng buộc mạnh trong build/buy decisions.,Demo chạy được không đồng nghĩa production đạt chất lượng. Không hy sinh tiêu chí bắt buộc chỉ để kết thúc proof of concept nhanh.,AWS AI services; Bedrock; SageMaker AI,Domain 2,2.1,Lựa chọn giải pháp,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Model training,"• PREDICT → LOSS → UPDATE
• LEARN WEIGHTS
• OPTIMIZATION",Huấn luyện mô hình,Model training adjusts learned parameters using data and an optimization objective.,Quá trình dùng dữ liệu và mục tiêu tối ưu để điều chỉnh các tham số được học của mô hình.,"Với mô hình dùng gradient: tạo dự đoán, tính loss, tính gradient và cập nhật trọng số; lặp qua các batch/epoch. Hai thành phần lõi trong bài là loss function và optimization technique.",Dự đoán giá xe → so với giá thật → tính sai số → cập nhật weights để giảm loss.,Sau khi chọn modeling approach và chuẩn bị dữ liệu; cần theo dõi cả chất lượng validation để chọn model tổng quát hóa tốt.,Không phải mọi thuật toán đều dùng gradient descent; cây quyết định có cơ chế học khác. Loss train thấp nhất không tự bảo đảm kết quả tốt trên dữ liệu mới.,SageMaker AI; PyTorch; TensorFlow,Domain 2,2.2,Training fundamentals,Skill Builder,https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ,15/09/2026
Learned parameters versus hyperparameters,"• LEARNED WEIGHTS
• USER-SET CONFIGURATION
• INNER VS OUTER OPTIMIZATION",Tham số được học và siêu tham số,Parameters are learned during fitting; hyperparameters configure the model or learning procedure.,Parameters được học từ dữ liệu; hyperparameters quy định cấu trúc hoặc cách huấn luyện.,"Weights/bias thay đổi bên trong một training run; learning rate, số epoch tối đa, batch size hoặc độ sâu cây là cấu hình cho run. HPO thử nhiều cấu hình; mỗi trial lại học bộ parameters riêng.","Hệ số hồi quy w là parameter; learning rate 0,01 là hyperparameter.",Khi đọc câu hỏi hỏi “giá trị nào được học” hoặc “giá trị nào được tuning trước các trial”.,"Hyperparameter có thể theo lịch thay đổi đã cấu hình trong run, không nhất thiết hằng số. AMT không trực tiếp chọn từng weight thay optimizer.",SageMaker AMT; framework optimizers,Domain 2,2.2,Training fundamentals,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/automatic-model-tuning-how-it-works.html",15/09/2026
Loss function / training objective,"• PREDICTION ERROR
• MINIMIZE LOSS
• TASK-SPECIFIC OBJECTIVE",Hàm mất mát và mục tiêu huấn luyện,A loss function quantifies prediction error and supplies the signal for optimization.,Hàm lượng hóa sai lệch dự đoán để thuật toán có tín hiệu tối ưu.,"Chọn loss phù hợp dạng đầu ra và bài toán; objective tổng thể có thể là loss dữ liệu cộng regularization. Trong bài, RMSE minh họa regression và negative log-likelihood minh họa classification.",Objective = data loss + λ × penalty; tăng λ thay đổi ưu tiên giữa khớp dữ liệu và độ đơn giản.,"Khi cấu hình thuật toán hoặc training loop, trước khi chạy optimization.",Không đồng nhất mọi metric với loss khả vi; accuracy hữu ích để đánh giá nhưng thường không phải hàm trực tiếp dùng backprop. Objective metric của AMT có thể khác training loss.,SageMaker built-in algorithms; TensorFlow; PyTorch,Domain 2,2.2,Training fundamentals,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/automatic-model-tuning-define-metrics-variables.html
https://scikit-learn.org/stable/modules/linear_model.html",15/09/2026
Root mean square error (RMSE),"• REGRESSION
• SQUARED ERRORS
• SAME TARGET UNITS",Căn bậc hai sai số bình phương trung bình,RMSE is the square root of the mean squared prediction error.,Căn bậc hai của trung bình bình phương chênh lệch giữa giá trị thật và dự đoán.,"Bình phương từng sai số, lấy trung bình rồi căn bậc hai; phạt lỗi lớn mạnh hơn MAE và có cùng đơn vị với target. Bài dùng RMSE để minh họa loss/độ lỗi regression; nhiều training implementation tối ưu MSE rồi báo RMSE.","RMSE = sqrt(Σ(yᵢ−ŷᵢ)² / n). Lỗi 3 và 4 → sqrt(12,5) ≈ 3,536.
So MSE=12,5 (đơn vị²) với RMSE≈3,536 (đơn vị target). RMSE cao/thấp phải đọc tương đối baseline và mức error nghiệp vụ.","Dự đoán giá, lượng bán, nhu cầu; khi tuning chọn Minimize cho validation RMSE.","Không phải accuracy và không có ngưỡng “tốt” dùng chung mọi bài. RMSE phụ thuộc đơn vị và nhạy với outliers; phải so với baseline trên cùng tập đánh giá.
Đính chính cách gọi trong hình bài Analyze/Evaluate: RMSE không luôn là sample standard deviation của errors. RMSE là căn mean squared error quanh 0; standard deviation xét độ phân tán quanh mean error và còn khác quy ước mẫu số.",SageMaker algorithms; AMT,Domain 2,2.2,Loss and optimization,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
Negative log-likelihood / cross-entropy,"• CLASSIFICATION PROBABILITIES
• −LOG P(TRUE CLASS)
• CONFIDENT WRONG → LARGE LOSS",Âm log-likelihood và cross-entropy,Negative log-likelihood penalizes assigning low probability to the observed class.,Hàm phạt mô hình khi gán xác suất thấp cho lớp đúng.,"Với nhãn one-hot, cross-entropy của một mẫu là −log xác suất lớp đúng. Xác suất đúng càng nhỏ thì loss càng lớn; có thể tối ưu ngay cả khi nhãn dự đoán chưa thay đổi.","Lớp đúng nhận p=0,9 → loss≈0,105; p=0,1 → loss≈2,303, dùng log tự nhiên.",Classification như spam/not spam; chọn đúng biến thể binary/multiclass và dạng input logits/probabilities theo framework.,Bài gọi “log-likelihood loss”; về tối ưu cần MINIMIZE negative log-likelihood hoặc MAXIMIZE log-likelihood. Không tối thiểu hóa log-likelihood dương rồi kết luận model tốt.,PyTorch; TensorFlow; SageMaker classification,Domain 2,2.2,Loss and optimization,Skill Builder,https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ,15/09/2026
Gradient descent,"• NEGATIVE GRADIENT
• LEARNING RATE
• ITERATIVE WEIGHT UPDATE",Hạ gradient,Gradient descent updates parameters in the direction opposite to the loss gradient.,Cập nhật tham số theo hướng ngược gradient để giảm loss cục bộ.,"Tại weights hiện tại, tính gradient rồi bước theo −gradient. Learning rate điều chỉnh độ lớn bước; dạng landscape, initialization và optimizer ảnh hưởng convergence.","w(t+1) = w(t) − η × ∇L(w(t)). Nếu gradient=2 và η=0,1 thì giảm w một lượng 0,2.","Mô hình có objective hỗ trợ gradient, nhất là neural networks và nhiều mô hình tuyến tính.",Không bảo đảm global minimum cho objective không lồi. Bước cũng không tự nhỏ dần nếu dùng learning rate hằng; cần phân biệt độ lớn gradient với lịch giảm learning rate.,Framework optimizers; SageMaker AI,Domain 2,2.2,Loss and optimization,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html",15/09/2026
Full-batch gradient descent,"• ENTIRE DATASET PER UPDATE
• ONE UPDATE PER EPOCH
• STABLE GRADIENT",Hạ gradient toàn bộ tập dữ liệu,Full-batch gradient descent computes an update using the whole training dataset.,Tính gradient từ toàn bộ dữ liệu huấn luyện trước mỗi lần cập nhật.,"Mỗi epoch có một update trong cách diễn giải của bài. Gradient ít nhiễu do lấy toàn bộ mẫu, nhưng phải chờ xử lý toàn dataset mới cập nhật.","1.000 mẫu → một lần cập nhật mỗi epoch; 10 epoch → 10 update, nếu không có cấu trúc lặp khác.","Tập nhỏ, phù hợp xử lý toàn bộ dữ liệu và muốn gradient xác định trên dataset cố định.",“Gradient descent” còn là tên nhóm chung; khi so với SGD/mini-batch trong bài thì nghĩa là full-batch. Ổn định hơn không có nghĩa luôn train nhanh nhất.,PyTorch; TensorFlow,Domain 2,2.2,Loss and optimization,Skill Builder,https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ,15/09/2026
Stochastic gradient descent (single-sample),"• ONE SAMPLE PER UPDATE
• NOISY UPDATES
• FREQUENT UPDATES",Hạ gradient ngẫu nhiên theo từng mẫu,Single-sample SGD updates model parameters after processing one training example.,Cập nhật trọng số sau mỗi mẫu dữ liệu.,Có nhiều update trong một epoch và mỗi update dùng ít dữ liệu; gradient nhiễu nên đường loss có thể dao động. Xáo trộn phù hợp giúp tránh lệ thuộc thứ tự mẫu.,1.000 mẫu → 1.000 update mỗi epoch khi dùng đúng SGD từng mẫu.,"Hiểu tradeoff giữa tần suất cập nhật, tính nhiễu và khả năng xử lý dữ liệu tuần tự.","Trong thư viện, optimizer tên SGD vẫn thường được dùng với mini-batch. Không suy rằng dùng torch.optim.SGD thì batch size bắt buộc bằng 1.",PyTorch; TensorFlow,Domain 2,2.2,Loss and optimization,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html",15/09/2026
Mini-batch gradient descent,"• BATCH PER UPDATE
• MEMORY–STABILITY BALANCE
• COMMON IN PRACTICE",Hạ gradient theo lô nhỏ,Mini-batch gradient descent computes each update from a subset of the training dataset.,Mỗi update dùng một batch nhỏ thay vì một mẫu hoặc toàn bộ dataset.,Kết hợp khả năng vector hóa/xử lý song song với bộ nhớ hữu hạn; gradient thường ổn định hơn một mẫu. Đây là cách phổ biến trong deep learning; lựa chọn batch liên quan learning rate và throughput.,"1.000 mẫu, batch 100 → 10 update mỗi epoch, giả sử không accumulation.",Muốn tận dụng GPU và kiểm soát memory mà vẫn cập nhật thường xuyên.,Batch lớn hơn không bảo đảm chất lượng hoặc tổng thời gian tốt hơn. Cuối epoch có thể có batch không đủ; phải biết drop_last và sampling policy khi tính số bước.,PyTorch DataLoader; TensorFlow datasets,Domain 2,2.2,Loss and optimization,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html",15/09/2026
Learning rate,"• STEP SIZE
• TOO HIGH → OVERSHOOT
• TOO LOW → SLOW LEARNING",Tốc độ học,The learning rate scales the parameter update made by an optimizer.,Hệ số điều chỉnh kích thước thay đổi tham số trong một bước tối ưu.,Quá cao có thể làm loss dao động/diverge; quá thấp có thể cần nhiều bước hoặc dừng tiến triển thực tế. Chọn theo model/optimizer/batch và quan sát loss curves.,Loss tăng giảm mạnh rồi tăng vọt sau cập nhật → thử giảm learning rate và kiểm tra gradient/data.,Một hyperparameter quan trọng khi tune convergence và thời gian huấn luyện.,"Divergence không chỉ do learning rate: dữ liệu lỗi, loss không ổn định hoặc exploding gradient cũng có thể gây ra. Giảm learning rate là đáp án theo dấu hiệu đề, không chẩn đoán tuyệt đối.",SageMaker AMT; optimizer; learning-rate scheduler,Domain 2,2.2,Hyperparameters,Skill Builder,https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ,15/09/2026
Epoch,"• ONE FULL DATASET PASS
• MULTIPLE BATCHES
• TRAINING DURATION",Một lượt qua toàn bộ dữ liệu huấn luyện,An epoch is one complete pass through the training dataset.,Một lần xử lý toàn bộ tập train theo cách lấy mẫu được định nghĩa.,"Một epoch thường chứa nhiều mini-batch và update. Số epoch là số lượt học, còn early stopping có thể dừng trước số epoch tối đa đã đặt.","10.000 mẫu, batch 100 → 100 batch/epoch; 5 epoch → 500 update nếu mỗi batch một update.","Tính training steps, so sánh learning curves và đặt ngân sách training.","Ít epoch có thể chưa hội tụ; nhiều epoch có thể overfit hoặc lãng phí nhưng không luôn xảy ra. Với streaming/infinite dataset, epoch có thể được xác định bằng steps_per_epoch.",Framework training loops; AMT,Domain 2,2.2,Hyperparameters,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html",15/09/2026
Training step / iteration,"• ONE UPDATE CYCLE
• STEPS PER EPOCH
• BATCH COUNT",Bước huấn luyện và iteration,A training iteration processes a batch; an optimizer step applies a parameter update.,Iteration xử lý batch; optimizer step là lần thực sự cập nhật tham số.,"Trong mô hình đơn giản của bài, mỗi mini-batch có một forward/backward và một optimizer update. Gradient accumulation có thể gom nhiều micro-batch trước update nên hai số đếm không luôn bằng nhau.","N=1.030, B=100 → ceil(N/B)=11 bước/epoch nếu giữ batch cuối; drop_last → 10. Tổng bước = E × bước/epoch trong điều kiện này.","Câu tính epoch/step/batch, lịch learning rate theo step và đọc training logs.",Không lấy số mẫu nhân batch size. Distributed training phải dùng global batch và biết sampler/accumulation để tính đúng.,SageMaker training logs; framework loop,Domain 2,2.2,Training fundamentals,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html",15/09/2026
Batch size,"• SAMPLES PER UPDATE
• GPU MEMORY
• THROUGHPUT AND GENERALIZATION",Kích thước batch,Batch size is the number of examples contributing to a training update in the basic training loop.,Số mẫu đóng góp vào một cập nhật trong training loop cơ bản.,Batch lớn cần nhiều memory cho activations và có thể tận dụng phần cứng tốt hơn; gradient ít nhiễu hơn. Đổi batch cũng đổi số update trong epoch và có thể cần retune learning rate.,"Giữ N=10.000, tăng B từ 100 lên 200 → từ 100 xuống 50 update/epoch, nếu không accumulation.","Khi gặp out-of-memory, throughput thấp hoặc cần so sánh training configs công bằng.",Tăng batch không làm mô hình có thêm parameters; OOM có thể do model/optimizer state nên giảm batch chưa chắc đủ. Không mặc định batch lớn nhất là tốt nhất.,GPU/Trainium; PyTorch; TensorFlow,Domain 2,2.2,Hyperparameters,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html",15/09/2026
Convergence and local/global minima,"• LOSS STABILIZATION
• LOCAL VS GLOBAL
• NO GENERAL GLOBAL GUARANTEE",Hội tụ và cực tiểu cục bộ/toàn cục,Convergence describes training approaching a stable solution under its optimization criteria.,Training tiến gần trạng thái ổn định theo tiêu chí tối ưu đã chọn.,"Loss không còn cải thiện đáng kể là một tín hiệu; phải xét learning rate, gradient, model capacity và validation. Local minimum chỉ tốt trong lân cận; global minimum là thấp nhất trên toàn miền objective.
Task 2.3: loss phẳng có thể do gradient quá nhỏ, learning rate thấp, hạn chế dữ liệu/capacity, local minima/saddle region hoặc đã hội tụ. Gradient quá lớn và LR không phù hợp có thể gây loss spikes/phân kỳ; dùng tensors/curves để kiểm tra.",Training loss chững nhưng validation vẫn kém → chưa thể tuyên bố model đạt yêu cầu nghiệp vụ.,Theo dõi loss curves và giải thích vì sao training dừng/còn cần tune.,"Neural network có objective không lồi; training không hứa tìm global minimum. Hội tụ của train objective không đồng nghĩa generalization tốt.
Không thể chứng minh local minimum từ một plateau. Wall-clock training chậm khác optimization không tiến triển; tăng phần cứng không tự chữa lỗi gradient.",SageMaker logs; AMT; framework optimizers,Domain 2,2.2,Loss and optimization,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
Generalization,"• UNSEEN DATA
• VALIDATION QUALITY
• BEYOND MEMORIZATION",Khả năng tổng quát hóa,Generalization is a model's ability to perform well on relevant unseen data.,Khả năng hoạt động tốt trên dữ liệu mới có liên quan đến mục tiêu ứng dụng.,"Training học từ train set; validation giúp lựa chọn cấu hình và thời điểm dừng. Tập đánh giá phải đại diện, tách biệt đúng và không bị data leakage.","Train accuracy 99% nhưng validation 70% → cần điều tra overfitting, shift, leakage hoặc split thay vì chỉ tăng epochs.","Mục tiêu khi tune model, early stopping và chọn model artifact cuối.",HPO thử quá nhiều rồi chỉ tối ưu validation có thể overfit chính validation. Dành test set độc lập cho đánh giá cuối; dữ liệu mới khác phân phối có thể làm kết quả giảm.,SageMaker AMT; evaluation workflow,Domain 2,2.2,Training quality,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",15/09/2026
Overfitting during training,"• LOW TRAIN LOSS
• WORSE VALIDATION
• MEMORIZATION",Quá khớp dữ liệu huấn luyện,Overfitting occurs when a model fits training-specific patterns that do not generalize well.,Mô hình học quá mức các đặc điểm riêng/nhiễu của train nên kém trên dữ liệu mới.,"Quan sát train tiếp tục cải thiện nhưng validation dừng hoặc xấu đi. Có thể giảm độ phức tạp, regularize, dùng thêm dữ liệu phù hợp hoặc early stopping tùy nguyên nhân.
Nhóm biện pháp trong Customize: L1/L2, dropout, early stopping, data augmentation hợp lệ, pruning và architecture simplification; chọn theo nguyên nhân và kiểm định.",Validation loss thấp nhất ở epoch 8 rồi tăng dù train loss giảm đến epoch 20 → cân nhắc artifact epoch 8.,"Phân tích learning curves và xác định vì sao nhiều epoch hơn không giúp.
Analyze/Evaluate: dùng chênh lệch train–validation để lập giả thuyết high variance; kiểm tra data split, representative data và leakage trước khi chọn regularization/early stopping.",Khoảng cách train/validation còn có thể do distribution shift hoặc split không đúng; không chỉ nhìn một metric rồi kết luận duy nhất overfit.,"Early stopping; AMT; L1/L2
Dropout; Data augmentation; Pruning",Domain 2,2.2,Training quality,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://skillbuilder.aws/learn/Q6PN4F1E2G/aws-ml-engineer-associate--analyze-and-evaluate-performance/CHBEW6A7NZ",15/09/2026
