MLA-C01 • DOMAIN 4,DỊCH VỤ VÀ TÍNH NĂNG,Monitor Model Inference • Optimize Costs and Performance • Secure ML and AI Workloads,,,,,,,,,,,,,
69 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 4.1 + 4.2 + 4.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / Ví dụ / Điều kiện,3 module • Có phần mở rộng GenAI,,,,,,,,,,,,,
Đối chiếu: 16/09/2026,Nguồn: O • Có ghi phạm vi,Đối chiếu MLA-C01 và AWS docs; có ghi giới hạn và trạng thái dịch vụ.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Amazon CloudWatch Lambda Insights,Lambda memory • duration • resource troubleshooting,"Amazon CloudWatch Lambda Insights collects and presents system-level performance information for Lambda functions alongside invocation behavior. It helps investigate resource usage, duration, and operational problems in functions that preprocess requests, invoke a model, or integrate inference with other services, supporting better memory and performance decisions for that Lambda layer.","Amazon CloudWatch Lambda Insights thu và trình bày thông tin hiệu năng cấp hệ thống của Lambda cùng hành vi invocation. Nó giúp điều tra sử dụng tài nguyên, duration và sự cố ở function preprocessing, gọi model hoặc tích hợp inference với dịch vụ khác, hỗ trợ chọn memory và tối ưu hiệu năng lớp Lambda.",Nhận ra bottleneck nằm ở function thay vì model; liên hệ memory/resource usage với duration; hỗ trợ tìm cấu hình hợp lý cho chi phí và tốc độ.,Bật Lambda Insights phù hợp runtime → chạy workload đại diện → xem utilization/duration/errors → thử memory/configuration → đo lại cost và latency.,"Lambda làm preprocessing, proxy inference hoặc xử lý kết quả.",Lambda thiếu memory hoặc chạy quá lâu trong khi endpoint model khỏe: ưu tiên profile function.,Không tự benchmark model endpoint. Cần tính overhead/chi phí telemetry và thời gian chờ dependency ngoài Lambda.,Tính năng observability Lambda,Domain 4,4.2,Observability,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
AWS CloudTrail,API activity • who/what/when • change audit • management events • data events • security audit,"AWS CloudTrail records supported AWS account activity and API events, providing evidence of who performed an action, what resource was affected, and when it occurred. In ML operations, these records help correlate configuration changes or deployment actions with incidents and can feed controlled event-driven workflows, while trails support durable audit storage and later analysis.

For security auditing, CloudTrail management events help identify supported resource-administration actions, while selected data events provide activity on or within supported resources, such as S3 object access. Recording scope must be configured before the evidence is needed, and events should be correlated with IAM, configuration, network, and application records.","AWS CloudTrail ghi hoạt động tài khoản và API event AWS được hỗ trợ, cung cấp bằng chứng ai thực hiện hành động, resource nào bị tác động và vào lúc nào. Trong ML operations, log giúp liên hệ thay đổi cấu hình/deployment với sự cố và có thể làm đầu vào workflow theo sự kiện có kiểm soát; trail hỗ trợ lưu audit bền vững và phân tích sau đó.

Trong audit bảo mật, management events của CloudTrail giúp xác định thao tác quản trị tài nguyên được hỗ trợ, còn data events được chọn cung cấp hoạt động trên hoặc trong tài nguyên được hỗ trợ, như truy cập S3 object. Cần cấu hình phạm vi ghi trước khi cần bằng chứng và đối chiếu event với IAM, cấu hình, mạng cùng log ứng dụng.","Truy người/thay đổi gây cost/performance regression; hỗ trợ accountability; lưu event vào S3 và phân tích theo cấu hình phù hợp.

Task 4.3: Truy actor/action/time/source của thay đổi và truy cập dữ liệu được ghi; hỗ trợ accountability và response.","Cấu hình event/trail cần thu → lưu/tra cứu audit → correlate với timeline metric → event rule/workflow phản ứng nếu đã thiết kế → xác minh.

Task 4.3: Xác định management/data scope → trail hoặc event store/destination phù hợp → bảo vệ retention → query theo principal/resource/time → correlate.","Endpoint bị đổi cấu hình, job bất thường, điều tra thời điểm thay capacity hoặc quyền.

Task 4.3: Thay đổi endpoint/pipeline không được phép, nghi đọc dữ liệu nhạy cảm hoặc lạm dụng role.","Cost tăng sau UpdateEndpoint: đối chiếu CloudTrail để biết cấu hình và actor liên quan.

Task 4.3: Ai thay endpoint → management; ai đọc object dataset → data event khi đã bật cho phạm vi đó.","Không thay X-Ray latency trace hoặc tự tính model accuracy. Retraining chỉ xảy ra khi có event routing/target đã cấu hình; tránh trigger không kiểm soát.

Task 4.3: Không mặc định Event history gồm mọi S3 object access; bật logging sau sự cố không tạo event quá khứ chưa ghi. CloudTrail không phải packet capture hoặc toàn bộ nội dung RAG.",Dịch vụ audit hoạt động AWS,Domain 4,4.2 / 4.3,Observability; bảo mật workload,Skill Builder,"https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://skillbuilder.aws/learn/GVQ1SN594N/aws-ml-engineer-associate--secure-ml-and-ai-workloads/54MTEPSKTR",16/09/2026
Amazon Quick Sight (thuộc Amazon Quick),BI dashboards • combine datasets • forecasting,"Amazon Quick Sight is an AWS business intelligence capability for building interactive analyses and dashboards from multiple data sources. In cost and performance management, it can combine operational metrics, billing data, spreadsheets, and business measures to show trends, anomalies, and forecasts to teams that need a broader business view than an infrastructure dashboard.","Amazon Quick Sight là khả năng business intelligence của AWS để xây phân tích và dashboard tương tác từ nhiều nguồn dữ liệu. Trong quản lý chi phí/hiệu năng, nó có thể kết hợp metric vận hành, dữ liệu billing, spreadsheet và chỉ số kinh doanh để hiển thị xu hướng, bất thường, dự báo cho nhóm cần góc nhìn rộng hơn dashboard hạ tầng.",Kết nối chi phí với doanh thu/sản phẩm/team; báo cáo trực quan; hỗ trợ chia sẻ và phân tích xu hướng cho quản lý.,Chuẩn bị dataset và quyền → join/transform phù hợp → xây visuals/KPI → cấu hình refresh và chia sẻ → kiểm tra tính mới của dữ liệu.,"Báo cáo chi phí/1.000 predictions theo sản phẩm, forecast sử dụng và so team.",Ghép cost allocation theo Project với lượng transactions để tính unit cost theo tháng.,Khóa học dùng tên Quick Sight trong Amazon Quick. CloudWatch phù hợp on-call metrics; EventBridge không phải BI. Freshness phụ thuộc dataset/refresh.,Khả năng business intelligence,Domain 4,4.2,Dashboards,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
AWS Service Quotas,regional limits • adjustable quotas • request increase,"AWS Service Quotas provides visibility and management for supported limits on AWS resource quantities and usage rates. Reviewing quotas before deployment helps ensure that scaling or new jobs are permitted by account limits, while increase requests must be planned separately from reservations for actual compute capacity.",AWS Service Quotas cung cấp khả năng xem và quản lý các hạn mức được hỗ trợ về số lượng tài nguyên và tốc độ usage AWS. Kiểm tra quota trước deployment giúp bảo đảm account cho phép scale hoặc chạy job mới; xin tăng quota phải được lên kế hoạch riêng với việc giữ capacity compute thực tế.,Phát hiện trước giới hạn khiến deployment/scale-out thất bại; hỗ trợ chuẩn bị tài nguyên cho peak và tránh phản ứng muộn.,Xác định service/Region/resource type → so nhu cầu peak với quota → xin tăng hạn mức có thể điều chỉnh → xác nhận approval và kiểm thử.,"Endpoint scaling, GPU training, serverless concurrency và workload mới.",Cần 12 instance nhưng quota 10: giải quyết quota trước lịch load test.,Không phải công cụ đặt budget USD; quota đủ không bảo đảm instance availability. Một số giới hạn không tăng được.,Dịch vụ quản lý hạn mức,Domain 4,4.2,Capacity,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
Amazon EC2 Capacity Blocks for ML,reserve future GPUs • fixed window • planned training,"Amazon EC2 Capacity Blocks for ML lets customers reserve supported GPU compute capacity for a specified future time window. It supports planned, compute-intensive work such as training, fine-tuning, and experiments by providing scheduled access to accelerators without keeping a fleet running continuously between occasional jobs.","Amazon EC2 Capacity Blocks for ML cho phép đặt trước capacity GPU được hỗ trợ cho một khoảng thời gian tương lai cụ thể. Nó phục vụ training, fine-tuning và experiments compute-intensive có kế hoạch bằng cách cung cấp accelerator theo lịch, không cần giữ fleet chạy liên tục giữa các job thỉnh thoảng mới có.",Tăng khả năng có GPU đúng lịch; hợp đợt training ngắn; capacity theo nhóm có thể phục vụ yêu cầu networking của distributed workload theo offering.,"Chọn offering phù hợp số/type GPU, location, start và duration → reserve → chuẩn bị job trước window → chạy trong thời gian đã đặt → lưu kết quả/checkpoint đúng hạn.",Dự án cần GPU trong vài ngày và biết trước lịch.,Đội nghiên cứu đặt capacity cho đợt fine-tune thay vì hy vọng Spot có sẵn vào ngày chạy.,Kiểm tra Region/type/duration hỗ trợ và điều kiện end-of-block. Khác cam kết $/giờ Savings Plans và khác quota.,Lựa chọn đặt trước compute capacity,Domain 4,4.2,Capacity,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
Amazon SageMaker Serverless Inference,automatic capacity • scale to zero • optional warm concurrency,Amazon SageMaker Serverless Inference serves supported models without requiring customers to maintain a continuously provisioned instance fleet. Capacity adjusts to incoming requests and can scale down during idle periods; optional provisioned concurrency keeps a chosen amount ready to reduce cold-start delays for latency-sensitive traffic.,Amazon SageMaker Serverless Inference phục vụ model được hỗ trợ mà khách hàng không phải giữ một fleet instance cấp sẵn chạy liên tục. Capacity điều chỉnh theo request đến và có thể giảm khi idle; provisioned concurrency tùy chọn giữ sẵn một lượng capacity để giảm cold-start delay cho traffic nhạy latency.,Giảm vận hành capacity và phí idle cho nhu cầu gián đoạn; có lựa chọn đổi thêm chi phí warm capacity lấy responsiveness.,Đánh giá model/package và feature compatibility → chọn memory/max concurrency → benchmark cold/warm latency → cân nhắc provisioned concurrency → theo dõi usage/cost.,"Endpoint ít dùng, traffic khó đoán, workload chấp nhận giới hạn tính năng của serverless.",Moderation nhỏ có nhiều thời gian idle: so serverless với endpoint luôn chạy; bật warm capacity nếu cold start không đạt SLA.,"Phải kiểm tra support về model size, runtime/features và quota. Provisioned concurrency có phí giữ sẵn; burst vượt warm capacity không được bảo đảm luôn nóng.",Chế độ SageMaker inference,Domain 4,4.2,Capacity,Skill Builder,"https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://docs.aws.amazon.com/sagemaker/latest/dg/serverless-endpoints.html",16/09/2026
Application Auto Scaling for SageMaker,target tracking • step scaling • scheduled scaling,"Application Auto Scaling adjusts supported SageMaker serving capacity using configured policies and schedules. Target tracking follows a chosen metric target, step scaling responds by breach severity, and scheduled scaling prepares capacity for predictable demand, helping balance serving cost with throughput and latency requirements.","Application Auto Scaling điều chỉnh capacity serving SageMaker được hỗ trợ bằng policy và lịch cấu hình. Target tracking bám metric mục tiêu, step scaling phản ứng theo mức vượt ngưỡng, scheduled scaling chuẩn bị trước nhu cầu dự đoán được, giúp cân bằng chi phí với throughput và latency.",Giảm cấp dư khi tải thấp; tăng capacity khi cần; kết hợp chuẩn bị theo lịch với phản ứng theo metric.,Register scalable target/min/max → chọn policy/metric hoặc schedule → cấu hình cooldown/warm-up phù hợp → kiểm thử peak và scale-in → giám sát.,"Tải thay đổi, peak theo giờ và yêu cầu giữ latency ổn định.",Tăng min capacity trước 9 giờ rồi dùng target tracking cho biến động trong ngày.,Không vượt service quota hoặc tự giải quyết model/container không phù hợp. Scaling có độ trễ; metric cần phản ánh demand đúng.,Dịch vụ autoscaling cho resource ứng dụng,Domain 4,4.2,Autoscaling,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
AWS Billing and Cost Management,consolidated cost view • allocation • financial controls,"AWS Billing and Cost Management provides the account-level tools and views used to understand AWS charges, organize spending, and manage cost controls. For ML workloads, it connects service and Region spending with allocation tags and cost-management tools so infrastructure decisions can be evaluated against budgets and attributed to responsible projects or teams.","AWS Billing and Cost Management cung cấp công cụ và giao diện cấp tài khoản để hiểu phí AWS, tổ chức chi tiêu và quản lý kiểm soát chi phí. Với ML, nó kết nối chi phí theo dịch vụ/Region với allocation tags và các công cụ cost management để đánh giá quyết định hạ tầng theo ngân sách và quy trách nhiệm cho dự án/nhóm.","Tạo góc nhìn tài chính chung; kích hoạt cost tags; kết nối với Cost Explorer, Budgets và dữ liệu chi tiết.",Chuẩn hóa cấu trúc account/tag → activate cost tags → xem bill và usage → phân tích/đặt budget → review cost định kỳ.,Theo dõi chi phí ML nhiều dịch vụ/Region và quản lý ngân sách.,"Tách chi phí training, inference, storage và data transfer theo team/project.",Không đồng nhất Billing console với metric latency theo thời gian thực; dữ liệu cost có độ trễ và phạm vi quyền riêng.,Nhóm công cụ quản lý billing/cost,Domain 4,4.2,Cost management,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
AWS Budgets,actual/forecast alerts • scoped budgets • early action,"AWS Budgets lets teams define spending or usage targets and receive notifications when actual or forecast values cross configured thresholds. Budgets can be scoped to relevant accounts, services, or cost allocation dimensions, providing early warning and supporting configured response actions without automatically acting as a universal real-time spending cap.","AWS Budgets cho phép đặt mục tiêu chi tiêu hoặc usage và nhận thông báo khi giá trị thực tế hoặc dự báo vượt ngưỡng cấu hình. Budget có thể giới hạn theo account, service hoặc chiều phân bổ chi phí phù hợp, giúp cảnh báo sớm và hỗ trợ action được thiết lập, nhưng không tự là trần chi tiêu thời gian thực cho mọi dịch vụ.",Phát hiện nguy cơ vượt ngân sách trước cuối tháng; phân quyền trách nhiệm theo dự án; kết hợp actual và forecast để phản ứng sớm hơn.,Chọn scope/filter → đặt mức budget và threshold → cấu hình người nhận/action phù hợp → xác minh dữ liệu/tag → theo dõi và xử lý cảnh báo.,Dự án GenAI cần báo khi forecast vượt ngân sách hoặc training experiments tăng phí.,Project tag của nhóm Risk đạt 80% actual hoặc forecast vượt 100% thì gửi cảnh báo theo cấu hình.,Billing updates có độ trễ. Alert không tự dừng tất cả API calls; hard usage control cần thiết kế ở ứng dụng/quota/action phù hợp.,Dịch vụ ngân sách và cảnh báo chi phí,Domain 4,4.2,Cost management,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
AWS Cost Explorer,cost history • forecast • group/filter • recommendations,"AWS Cost Explorer provides interactive analysis of AWS cost and usage over time, with grouping, filtering, and forecasting to explain spending patterns. It helps ML teams identify expensive services, Regions, or tagged projects and review relevant purchasing utilization and recommendations, supporting evidence-based decisions about resource and commitment changes.","AWS Cost Explorer cung cấp phân tích tương tác chi phí/usage AWS theo thời gian, với group, filter và forecast để giải thích mẫu chi tiêu. Nó giúp nhóm ML tìm dịch vụ, Region hoặc dự án gắn tag tốn phí và xem utilization/khuyến nghị mua phù hợp, làm cơ sở quyết định đổi tài nguyên hoặc mức cam kết.",Nhìn trend và cost drivers nhanh; so kỳ; phân bổ theo tag; hỗ trợ đánh giá baseline trước mua commitment.,Chọn time range/cost metric → group theo service/usage type/Region/tag → drill down spike → xem forecast/recommendation → xác minh bằng usage chi tiết.,"Bill tăng, cần xác định team/resource category gây tăng hoặc lập purchasing plan.",Hosting cost tăng nhưng training ổn: drill down endpoint-related usage trước khi đổi training infrastructure.,Không thay profiler hay log query. Dữ liệu có độ trễ; tag phải được kích hoạt/phủ đủ và cách tính amortized/unblended cần nhất quán.,Công cụ phân tích chi phí,Domain 4,4.2,Cost management,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
AWS Trusted Advisor,best-practice checks • idle resources • recommendations,"AWS Trusted Advisor evaluates supported account resources against AWS best-practice checks and presents recommendations across operational areas, including cost optimization. Its cost findings can highlight idle or underused resources and purchasing opportunities, giving teams a prioritized review list that must still be checked against business purpose and workload requirements.","AWS Trusted Advisor đánh giá resource tài khoản được hỗ trợ theo các kiểm tra thực hành tốt của AWS và đưa khuyến nghị trong nhiều lĩnh vực, gồm cost optimization. Finding về cost có thể chỉ ra tài nguyên nhàn rỗi, dùng ít hoặc cơ hội mua phù hợp, tạo danh sách ưu tiên để review theo mục đích kinh doanh và yêu cầu workload.",Phát hiện cơ hội tiết kiệm thường gặp; hỗ trợ review tài nguyên bị bỏ quên và cấu hình chưa hợp lý.,Xem checks/findings khả dụng → xác định owner/resource → kiểm tra nhu cầu và rủi ro → xử lý recommendation phù hợp → refresh/đánh giá.,Tìm idle instances hoặc resource dư trong tài khoản nhiều nhóm sử dụng.,Endpoint/test resource dùng ít cần hỏi owner về lịch sử dụng trước khi loại bỏ.,Coverage và tính năng phụ thuộc check/support plan. Khuyến nghị không tự chứng minh tài nguyên có thể xóa; khác Inference Recommender load testing.,Công cụ best-practice recommendations,Domain 4,4.2,Cost management,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
AWS Cost and Usage Report (CUR) / detailed billing data,granular line items • hourly usage • tags • custom analysis,"AWS Cost and Usage Report supplies detailed billing and usage records for custom cost analysis, including supported service, account, time, and allocation dimensions. Teams can store and query this data to investigate costs at a finer level than a dashboard view, reconcile spending, and build project or workload-level allocation models.","AWS Cost and Usage Report cung cấp bản ghi billing/usage chi tiết cho phân tích tùy chỉnh, gồm các chiều service, account, thời gian và phân bổ được hỗ trợ. Nhóm có thể lưu/truy vấn dữ liệu để điều tra sâu hơn dashboard tổng, đối soát chi phí và xây mô hình phân bổ theo dự án hoặc workload.",Phân tích granular usage và tag; hỗ trợ truy vấn repeatable; nối dữ liệu tài chính với hệ thống nội bộ.,"Cấu hình báo cáo/export, time granularity và nơi nhận → kiểm tra schema/tag columns → query với công cụ phù hợp → reconcile với billing scope.","Điều tra data transfer, phân bổ chi phí nhiều account hoặc báo cáo cost tùy biến.",Query usage type và Project tag để tìm phần network/storage làm tổng bill tăng dù compute giảm.,Phân biệt báo cáo cost với CloudTrail API log. Schema/khả năng phụ thuộc CUR hoặc Data Exports đang dùng; không giả định mọi line item có resource ID/tag.,Báo cáo dữ liệu chi phí chi tiết,Domain 4,4.2,Cost management,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
Amazon SageMaker AI Savings Plans,eligible SageMaker instances • $/hour • flexible family/Region,"Amazon SageMaker AI Savings Plans provide discounted rates for eligible SageMaker ML instance usage in exchange for a one- or three-year hourly spending commitment. They can cover eligible notebook, processing, training, real-time inference, and batch-transform usage across instance families, sizes, and Regions, allowing resource changes while the committed spending obligation remains.","Amazon SageMaker AI Savings Plans cung cấp giá giảm cho usage instance ML SageMaker đủ điều kiện để đổi lấy cam kết chi tiêu theo giờ trong một hoặc ba năm. Plan có thể bao phủ notebook, processing, training, real-time inference và batch transform đủ điều kiện qua nhiều family, size, Region, cho phép đổi tài nguyên trong khi nghĩa vụ chi tiêu đã cam kết vẫn còn.",Giảm giá cho baseline ổn định; linh hoạt chuyển workload giữa cấu hình SageMaker đủ điều kiện; không phải tự khớp từng endpoint với một EC2 RI.,Rightsize/loại idle → xác định eligible baseline → so term/payment/commitment → mua mức phù hợp → theo dõi utilization/coverage.,"Usage SageMaker dài hạn, kể cả nhiều thành phần và dự kiến thay family.",Training giảm nhưng inference tăng có thể dùng cùng plan nếu usage đủ điều kiện.,"'Up to 64%' là tối đa theo offering, không chắc đạt. Phần vượt commit tính On-Demand; commit không dùng vẫn phải trả. Không mặc định áp cho mọi Bedrock token hay serverless fee.",Mô hình giá cam kết SageMaker,Domain 4,4.2,Purchasing,Skill Builder,"https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://aws.amazon.com/savingsplans/ml-pricing/",16/09/2026
Amazon SageMaker Managed Spot Training,discounted training • interruption handling • S3 checkpoints,"Amazon SageMaker Managed Spot Training runs training jobs using interruptible Spot capacity and manages the infrastructure lifecycle around that capacity. Compatible training code can save checkpoints to durable storage and resume after interruption, reducing compute spending when the workload tolerates delayed completion and the recovery process is correctly configured.","Amazon SageMaker Managed Spot Training chạy job huấn luyện bằng Spot capacity có thể gián đoạn và quản lý vòng đời hạ tầng liên quan. Training code tương thích có thể lưu checkpoint vào storage bền vững rồi tiếp tục sau gián đoạn, giảm phí compute khi workload chấp nhận hoàn thành muộn và quy trình phục hồi được cấu hình đúng.",Tiết kiệm compute cho training dài; SageMaker quản lý cấp lại capacity; checkpoint giảm tính toán phải làm lại.,"Training script hỗ trợ save/load checkpoint → cấu hình Spot, checkpoint S3, runtime/wait limits → submit → theo dõi interruptions/resume → kiểm tra model output và bill.","Weekly training/experiments có thời gian linh hoạt, model state lưu phục hồi được.","SDK v2 dùng use_spot_instances=True, max_wait và checkpoint_s3_uri; Boto3 dùng EnableManagedSpotTraining, StoppingCondition.MaxWaitTimeInSeconds, CheckpointConfig.S3Uri.",Video transcript viết sai tên một số tham số; tra API/SDK đúng version. max_wait phải đáp ứng giới hạn runtime liên quan. Không bảo đảm hoàn tất deadline hoặc chỉ chậm tối đa một chu kỳ checkpoint.,Tính năng huấn luyện tiết kiệm chi phí,Domain 4,4.2,Purchasing,Skill Builder,"https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://docs.aws.amazon.com/sagemaker/latest/dg/model-managed-spot-training.html
https://sagemaker.readthedocs.io/en/v2.251.0/api/training/estimators.html
https://docs.aws.amazon.com/sagemaker/latest/APIReference/API_CreateTrainingJob.html",16/09/2026
Amazon SageMaker multi-model endpoints,many models • shared instances • dynamic loading,"Amazon SageMaker multi-model endpoints serve multiple compatible models through shared endpoint infrastructure, loading the requested model from storage as needed and retaining active models in memory when possible. This consolidates low-utilization model fleets and reduces the cost of maintaining a dedicated endpoint for every model, with latency and memory trade-offs from model loading and cache eviction.","Amazon SageMaker multi-model endpoints phục vụ nhiều model tương thích qua hạ tầng endpoint chung, tải model được yêu cầu từ storage khi cần và giữ model hoạt động trong bộ nhớ khi có thể. Cách này gộp các fleet ít sử dụng, giảm phí duy trì endpoint riêng cho từng model, đổi lại trade-off latency/bộ nhớ do model loading và cache eviction.",Tăng sử dụng fleet; giảm idle cost của nhiều model nhỏ/ít request; hỗ trợ phân bổ serving chung.,Chọn container/runtime tương thích → đặt model artifacts ở S3 → triển khai MME → request chỉ định model → theo dõi loading/cache/memory và scale.,Nhiều model có yêu cầu tài nguyên/runtime phù hợp để chia sẻ và chấp nhận loading latency khi cold.,Moderation ít dùng chia sẻ fleet thay vì giữ endpoint hai instance chạy toàn thời gian.,Không tự ghép mọi model khác framework/hardware. Model hot vẫn có thể bị evict; cần load-test tranh chấp/noisy neighbor và bảo đảm SLA.,Chế độ hosting nhiều model,Domain 4,4.2,Hosting optimization,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
Amazon SageMaker Neo,compile once • target optimization • inference efficiency,"Amazon SageMaker Neo compiles supported trained models for a selected hardware and runtime target so they can execute inference more efficiently. The compilation produces optimized model artifacts that are deployed with a compatible runtime; it improves the execution path rather than retraining the model, and the gain depends on the model, operators, framework version, and target.","Amazon SageMaker Neo biên dịch model đã huấn luyện được hỗ trợ cho hardware/runtime đích để inference chạy hiệu quả hơn. Compilation tạo artifacts tối ưu dùng với runtime tương thích; nó cải thiện đường thực thi thay vì huấn luyện lại model, và mức tăng phụ thuộc model, operators, framework version và target.",Có thể giảm latency hoặc instance count cần thiết; giảm công sức tối ưu thủ công cho platform phù hợp.,Export model → chọn target/input configuration → compilation job → lưu artifacts → kiểm tra accuracy/latency → deploy và benchmark capacity.,Model tương thích cần tối ưu CPU/GPU/Inferentia hoặc edge inference.,"Walkthrough minh họa 2,3× performance và giảm từ 12 xuống 6 instance sau tối ưu; không dùng như cam kết.",Kiểm tra bảng hỗ trợ framework/version/operator/target hiện hành. Compile thành công vẫn cần kiểm tra kết quả số học và workload thật.,Tính năng biên dịch model,Domain 4,4.2,Hosting optimization,Skill Builder,"https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://docs.aws.amazon.com/sagemaker/latest/dg/neo.html",16/09/2026
AWS Inferentia and inference-optimized instances,purpose-built inference • throughput • price/performance,"AWS Inferentia is AWS-designed accelerator hardware intended for machine learning inference. Supported inference-optimized instances use these accelerators to execute compatible deep learning workloads with favorable throughput and cost characteristics, but obtaining the benefit requires a supported model, framework, compilation/runtime path, and representative performance validation.","AWS Inferentia là phần cứng accelerator do AWS thiết kế dành cho suy luận học máy. Instance tối ưu inference được hỗ trợ dùng accelerator này để thực thi workload deep learning tương thích với đặc tính throughput/chi phí phù hợp, nhưng lợi ích cần model, framework, compilation/runtime được hỗ trợ và kiểm chứng bằng tải đại diện.",Thêm lựa chọn price/performance ngoài CPU và GPU; chuyên cho inference thay vì trả cho năng lực không dùng.,Xác nhận model/operator/framework support → chuẩn bị runtime/compiler phù hợp → benchmark latency/throughput/cost → so toàn fleet với CPU/GPU.,"Deep learning inference volume lớn, model tương thích và có nhu cầu tối ưu lâu dài.","Không chọn GPU mặc định: benchmark Inferentia cùng yêu cầu memory, latency và throughput.","Không bảo đảm rẻ nhất cho mọi model. Inferentia là accelerator inference; Trainium tập trung training, dù khả năng cụ thể còn phụ thuộc offering.",Phần cứng accelerator AWS,Domain 4,4.2,Instance families,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
Amazon EC2 — instance families and purchasing,virtual compute • workload fit • On-Demand/Spot/RI,"Amazon EC2 provides configurable virtual compute instances whose CPU, memory, storage, networking, and accelerator characteristics vary by instance family and size. For self-managed ML infrastructure, teams choose both a suitable hardware profile and a purchasing option, retaining responsibility for the operating environment and serving or training software running on those instances.","Amazon EC2 cung cấp máy tính ảo cấu hình được, với CPU, memory, storage, networking và accelerator thay đổi theo family/size. Với hạ tầng ML tự quản lý, nhóm chọn cả cấu hình phần cứng lẫn hình thức mua, đồng thời chịu trách nhiệm môi trường vận hành và phần mềm serving/training chạy trên instance.","Linh hoạt chọn tài nguyên CPU/memory/GPU và môi trường; có On-Demand cho linh hoạt, Spot cho chịu gián đoạn, RI/Savings Plans phù hợp usage ổn định.",Profile workload → chọn family/size đủ memory → benchmark → chọn pricing theo thời gian/gián đoạn → cấu hình observability và vận hành.,Self-hosted ML stack cần kiểm soát môi trường hoặc dịch vụ phụ trợ quanh endpoint.,CPU-heavy inference có thể hợp compute optimized; model working set lớn phải ưu tiên đủ memory dù CPU trung bình thấp.,"EC2 instance billing khác managed SageMaker ml.* billing. RI giảm giá EC2 matching usage, không tự giảm phí mọi dịch vụ chạy dựa trên EC2.",Dịch vụ virtual compute,Domain 4,4.2,Instance families,Skill Builder,https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW,16/09/2026
