MLA-C01 • DOMAIN 2,DỊCH VỤ & CÔNG CỤ,Choose • Train • Customize • Evaluate,,,,,,,,,,,,,
62 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / ví dụ / điều kiện,Analyze / Evaluate: +8 mục • mở rộng 5,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Amazon Bedrock AgentCore,"• Agent runtime / tools
• Framework flexibility
• Permissions / operations","Amazon Bedrock AgentCore provides modular managed capabilities for running and operating agent applications and their tools. Components address concerns such as execution, tool connectivity, memory, identity and observability, allowing teams to assemble the capabilities needed by a supported agent framework and model. It supplies application infrastructure rather than automatically defining the agent's business task, tool permissions or correct decision-making behavior.","Amazon Bedrock AgentCore cung cấp các khả năng được quản lý theo thành phần để chạy, vận hành ứng dụng agent và công cụ của chúng. Các thành phần giải quyết thực thi, kết nối tool, memory, identity và observability, cho phép nhóm chọn những khả năng cần thiết cho framework agent, model được hỗ trợ. AgentCore cung cấp hạ tầng ứng dụng, không tự định nghĩa nhiệm vụ nghiệp vụ, quyền công cụ hoặc hành vi ra quyết định đúng của agent.","Hỗ trợ đưa agentic workflow vào ứng dụng với nền tảng thực thi, kết nối tools và quản trị phù hợp; dùng với model/framework theo khả năng được hỗ trợ.","Thiết kế agent/task, chọn các thành phần cần dùng, định nghĩa tool/API contracts và business controls; kiểm tra trace/kết quả thật. Có thể dùng các khả năng quản lý hoặc framework của bạn theo cấu hình.","Ứng dụng cần nhiều bước reasoning và API interaction, như scheduling trong walkthrough.","Check availability → thực thi booking qua API → trả confirmation từ backend, có kiểm tra tham số/quyền.",Không thay thế scheduling backend hoặc tự đảm bảo hành động đúng. Business rules trong system prompt hướng model; quyền và validation phải được thực thi ở công cụ/hệ thống. Không phải mọi chatbot đơn giản đều cần AgentCore.,Agentic platform,Domain 2,2.1,Agentic modeling,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/cds/CONTENT_PR341MXB8A_001.000.000/assets/transcripts/B3UJH1XYGG.txt
https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/what-is-bedrock-agentcore.html",14/09/2026
Amazon EC2 — ML infrastructure choice,"• Instance control
• CPU / GPU options
• Operational responsibility","Amazon EC2 provides configurable virtual machines on which teams can run custom ML frameworks, training code and serving systems. Instance choices determine CPU, memory, accelerators and networking, allowing hardware to be matched to measured bottlenecks. This offers broad environment control but requires management of software, data access, recovery and capacity; SageMaker managed jobs can use supported instance families without adopting the same self-managed operating model.","Amazon EC2 cung cấp máy ảo có thể cấu hình để nhóm chạy framework ML, mã training và hệ thống serving tùy chỉnh. Lựa chọn instance quyết định CPU, RAM, accelerator, mạng, giúp chọn phần cứng theo điểm nghẽn đã đo. EC2 cho quyền kiểm soát môi trường rộng nhưng cần quản lý phần mềm, truy cập dữ liệu, phục hồi và capacity; managed job SageMaker có thể dùng các họ instance được hỗ trợ mà không theo cùng mô hình tự vận hành EC2.","Mức kiểm soát môi trường và phần cứng cao; chọn CPU/GPU/memory theo task và vận hành custom stack khi tầng cao không đủ.
Trong Train Models, các họ instance còn là lựa chọn phần cứng của SageMaker managed training: phân biệt CPU/memory/accelerator, chọn theo bottleneck và tổng cost/job.","Chọn instance/OS/dependencies, data path, training code và lifecycle; tự thiết kế việc quản lý capacity, recovery và theo dõi workload theo cách triển khai.",Team chuyên môn cần workflow/môi trường đặc biệt ngoài lựa chọn managed cao hơn.,PyTorch training với requirements riêng trên instances phù hợp compute và memory.,"EC2 không là algorithm/model; nhiều trách nhiệm về setup/operations hơn managed job. Giá mỗi giờ không đủ để so tổng chi phí training.
Nếu chọn SageMaker training job, lifecycle compute do SageMaker quản lý; không cần tự vận hành EC2 cluster chỉ để dùng phần cứng tương ứng. Xem bảng families D2 cho t/m/r/c/p/g.",Compute infrastructure,Domain 2,2.1,Frameworks / infrastructure,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/cmn-info-instance-types.html",15/09/2026
Amazon EKS — ML infrastructure choice,"• Kubernetes orchestration
• Container workloads
• Cluster expertise","Amazon EKS provides managed Kubernetes infrastructure for scheduling and operating containerized applications, including custom ML components. Teams package workloads into containers and configure Kubernetes resources, computing capacity, networking and data access. It suits organizations that require Kubernetes integration or advanced orchestration control, while workload configuration, dependencies, scaling policies and the broader ML lifecycle remain responsibilities of the platform and application teams.","Amazon EKS cung cấp hạ tầng Kubernetes được quản lý để lập lịch, vận hành ứng dụng container, bao gồm thành phần ML tùy chỉnh. Nhóm đóng gói workload thành container và cấu hình resource Kubernetes, capacity tính toán, mạng, truy cập dữ liệu. EKS phù hợp với tổ chức cần tích hợp Kubernetes hoặc kiểm soát orchestration sâu, còn cấu hình workload, dependency, chính sách scaling và vòng đời ML rộng hơn vẫn thuộc trách nhiệm nhóm platform, ứng dụng.",Phù hợp team đã có Kubernetes/platform requirements và cần tùy biến orchestration; mức linh hoạt cao nhưng cần vận hành cluster/workloads phù hợp.,"Đóng gói code/container, bố trí compute/data access và workload resources trong Kubernetes; quản lý scheduling, scaling và dependencies theo kiến trúc.",Custom ML platform hoặc workflows tích hợp hệ sinh thái Kubernetes hiện hữu.,Chạy ML framework containers trên EKS khi yêu cầu hạ tầng/team phù hợp.,Managed Kubernetes không có nghĩa AWS chọn thuật toán hoặc tự quản mọi thành phần ML; không chọn EKS chỉ vì muốn dùng GPU mà chưa có requirement orchestration.,Container infrastructure,Domain 2,2.1,Frameworks / infrastructure,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Amazon ECS — ML infrastructure choice,"• Container orchestration
• Task/service deployment
• Custom stack","Amazon ECS is an AWS container orchestration service that runs applications and tasks from configured container images and task definitions. ML teams specify resource needs, networking, roles and an appropriate supported compute mode for custom processing or serving components. ECS manages container placement and service operations, but it does not automatically provide algorithm selection, experiment tracking or the complete model-training and evaluation workflow.","Amazon ECS là dịch vụ điều phối container của AWS, chạy ứng dụng và task từ image, task definition được cấu hình. Nhóm ML khai báo nhu cầu tài nguyên, mạng, role và compute mode được hỗ trợ phù hợp cho thành phần xử lý hoặc serving tùy chỉnh. ECS quản lý bố trí container và vận hành service, nhưng không tự cung cấp lựa chọn thuật toán, theo dõi thử nghiệm hay toàn bộ workflow training, đánh giá model.",Cho tổ chức containers/workflow riêng theo lựa chọn compute hỗ trợ; phù hợp khi cần custom infrastructure control và có năng lực vận hành tương ứng.,"Định nghĩa container image, task resources, networking và data/permissions; chọn compute mode phù hợp yêu cầu ML.",Custom components hoặc inference/processing services đóng container trong kiến trúc tổ chức.,Chạy container framework hoặc ML component với lifecycle và resource configuration do team thiết kế.,"Không phải mọi compute mode hỗ trợ mọi accelerator. ECS là orchestration, không là model hay AI API; so với SageMaker dựa requirements/công vận hành.",Container infrastructure,Domain 2,2.1,Frameworks / infrastructure,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
PyTorch,"• ML framework
• Autograd / tensors
• Custom training code","PyTorch is an ML framework for defining tensor computations, model architectures and training or inference logic. Developers can implement custom losses, optimizers and training loops and execute them on supported devices and distributed configurations. In SageMaker script mode, PyTorch code runs inside a compatible managed framework container, combining code-level modeling control with managed job infrastructure; version and device compatibility still need validation.","PyTorch là framework ML để định nghĩa phép tính tensor, kiến trúc model và logic training hoặc inference. Người phát triển có thể triển khai loss, optimizer, training loop tùy chỉnh rồi chạy trên thiết bị, cấu hình phân tán được hỗ trợ. Trong script mode SageMaker, mã PyTorch chạy trong framework container quản lý tương thích, kết hợp quyền kiểm soát modeling bằng mã với hạ tầng job được quản lý; vẫn cần kiểm tra phiên bản và tính tương thích thiết bị.","Cho kiểm soát model/loss/training logic, phù hợp expert teams hoặc yêu cầu không có trong built-in/managed APIs; có thể chạy trên managed training hoặc infrastructure riêng.
Train Models: viết Python script cho architecture/loss/optimizer riêng rồi chạy trong supported PyTorch framework container; tách code khỏi infrastructure để quản lý phiên bản và thử local.","Chọn model/data pipeline, viết hoặc dùng training code, cấu hình device/distribution và evaluate; tài nguyên chạy do nền tảng triển khai quản lý.","Custom neural networks, fine-tuning và workflows cần tùy biến sâu.","Triển khai LoRA với thư viện tương thích trên SageMaker hoặc compute phù hợp.
Ví dụ module: novel object detection architecture không có built-in → script mode, D2-P17.","Framework không tự cung cấp data, đảm bảo performance hay quản lý cloud cost. Cần version/dependencies/model implementation phù hợp; dùng PyTorch không buộc tự vận hành EC2.
Optimizer SGD có thể dùng mini-batch; không suy tên SGD bắt buộc batch=1. Chọn đúng framework/container version và distributed support.",ML framework,Domain 2,2.1,Frameworks / infrastructure,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/frameworks.html
https://docs.aws.amazon.com/sagemaker/latest/dg/distributed-training.html",15/09/2026
TensorFlow,"• ML framework
• Custom models
• Training / inference","TensorFlow is an ML framework for building and executing models with configurable data pipelines, architectures and learning procedures. It supports custom training and inference implementations on compatible runtime and device configurations, including managed SageMaker framework-container workflows. Developers control the model and training behavior, such as validation callbacks and early stopping, while the selected execution platform determines resource provisioning and operational responsibilities.","TensorFlow là framework ML để xây dựng, thực thi model với pipeline dữ liệu, kiến trúc và quy trình học có thể cấu hình. Framework hỗ trợ triển khai training, inference tùy chỉnh trên runtime và thiết bị tương thích, bao gồm workflow framework container quản lý của SageMaker. Người phát triển kiểm soát model và hành vi training, chẳng hạn callback validation, early stopping, còn nền tảng thực thi được chọn quyết định việc cấp tài nguyên và trách nhiệm vận hành.","Cho tùy biến architecture và quá trình học khi cần nhiều kiểm soát; có thể dùng trong môi trường managed training hoặc stack hạ tầng riêng.
Train Models: script mode sử dụng framework container được hỗ trợ, giữ code custom nhưng tận dụng managed job. Callback có thể theo dõi validation để early stopping trong run.","Chuẩn bị pipeline và model code, chọn runtime/device, train/evaluate theo workflow phù hợp; quản lý versions và compatibility.",Team có chuyên môn hoặc codebase TensorFlow cần phát triển model tùy chỉnh.,Custom network trên training infrastructure phù hợp yêu cầu của tổ chức.,"Không phải managed AI service sẵn kết quả; vẫn cần data/ML expertise/evaluation. Framework choice khác với lựa chọn CPU/GPU hoặc cloud orchestration.
Ví dụ Keras EarlyStopping: muốn khôi phục weights tốt nhất phải cấu hình restore_best_weights; đây khác AMT early stopping so với các trials trước.",ML framework,Domain 2,2.1,Frameworks / infrastructure,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/frameworks.html
https://keras.io/api/callbacks/early_stopping/",15/09/2026
Amazon Nova model family,"• Amazon foundation models
• Task / modality variants
• Select exact model","Amazon Nova is a family of Amazon foundation models whose supported tasks, modalities and performance characteristics vary by model. Individual members can offer different trade-offs in quality, latency and supported text, image or video processing, so selection must be based on the exact model rather than the family name. Teams evaluate task fit, language coverage, context, customization and serving requirements on representative data.","Amazon Nova là họ foundation model của Amazon, trong đó tác vụ, modality và đặc tính hiệu năng được hỗ trợ khác nhau theo model. Từng thành viên có thể cung cấp đánh đổi khác nhau về chất lượng, latency và khả năng xử lý text, ảnh hoặc video, nên phải chọn theo đúng model thay vì chỉ tên họ. Nhóm đánh giá mức phù hợp tác vụ, ngôn ngữ, context, customization và yêu cầu serving trên dữ liệu đại diện.",Cung cấp các candidates cho nhiều mức chất lượng/latency và modalities; bài nhắc khả năng text/image/video ở các thành viên phù hợp.,"Tra model card hiện hành, lọc theo input/output/task/language/customization; benchmark exact model trên dữ liệu của bạn.","Candidate FM cho workload mà model cụ thể hỗ trợ, thay vì mặc định chọn theo brand.",Cần reasoning trên ảnh và text → chọn thành viên có image input; cần tạo ảnh phải chọn đúng generation capability.,Không nói mọi Nova đều nhận text/image/video hoặc có cùng context window. Không cần học thuộc mọi model version; tên family không thay việc đối chiếu hỗ trợ.,Foundation model family,Domain 2,2.1,Model catalog,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/models-supported.html",14/09/2026
Amazon Titan embedding models,"• Embeddings
• Vector representation
• Retrieval building block","Amazon Titan embedding models convert supported inputs into numerical vector representations used for semantic similarity and retrieval. Text and multimodal variants address different data and query types, and the resulting vectors are stored in a compatible index with source metadata. These models supply the representation layer of a retrieval system, rather than generating free-form answers; corpus and query embeddings must use compatible settings.","Các Amazon Titan embedding model chuyển đầu vào được hỗ trợ thành biểu diễn vector số dùng cho tìm tương đồng ngữ nghĩa và retrieval. Biến thể text, multimodal phục vụ những loại dữ liệu, query khác nhau; vector kết quả được lưu trong index tương thích cùng metadata nguồn. Các model cung cấp lớp biểu diễn của hệ thống truy xuất, thay vì sinh câu trả lời tự do; embedding corpus và query phải dùng cấu hình tương thích.","Là thành phần xây semantic retrieval/similarity, không phải generator trả câu trả lời tự do. Chọn text hoặc multimodal embedding model theo nguồn và query.",Embed corpus bằng model/version/dimensions phù hợp; lưu vectors và dùng query embeddings tương thích để retrieval.,"Base RAG, semantic similarity hoặc multimodal retrieval theo model.",Text query → embedding → nearest chunks → generator; Titan embedding đảm nhiệm bước biểu diễn vector.,Embedding model không tự tóm tắt/trả lời. Thay model/dimensions có thể cần re-embed index; không so vector từ hai không gian không tương thích.,Embedding model family,Domain 2,2.1,Model catalog,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/models-supported.html",14/09/2026
Other FM providers in the Bedrock catalog,"• Compare exact models
• Capability varies
• No universal winner","The Amazon Bedrock catalog provides access to foundation models from multiple providers, with capabilities and operating constraints defined per model. Providers mentioned in the course supply candidates for tasks such as reasoning, text generation, embeddings or image generation. Teams must shortlist exact models using modality, language, context, customization and serving requirements, then compare them on a common evaluation set rather than treating provider names as performance guarantees.","Catalog Amazon Bedrock cung cấp truy cập tới foundation model từ nhiều nhà cung cấp, với khả năng và điều kiện hoạt động được xác định theo từng model. Các nhà cung cấp được bài học nhắc đến mang lại candidate cho tác vụ như reasoning, sinh văn bản, embedding hoặc sinh ảnh. Nhóm phải chọn đúng model theo modality, ngôn ngữ, context, customization, serving rồi so sánh trên cùng tập đánh giá, không coi tên nhà cung cấp là bảo đảm hiệu năng.","Bài nhắc Anthropic Claude cho reasoning/long context, Meta Llama dạng open-weight, Stability AI cho image generation; còn Mistral AI, Cohere, AI21 Labs là các providers để shortlist theo model cụ thể.","Dùng catalog/model cards để kiểm tra modality, quality, languages, context, price và customization; thực nghiệm cùng eval dataset trước quyết định.",Cần chọn FM dựa requirement thay vì bị ràng buộc một nhà cung cấp hoặc một public benchmark.,So các candidate cùng đáp ứng task text QA theo evidence của workload; không so image generator với classifier chỉ bằng giá.,"Đây là bản đồ providers trong bài, không bảng xếp hạng. Open-weight không tự là miễn mọi license restriction; không suy mỗi provider chỉ có một loại model. Catalog hiện hành có thể rộng hơn danh sách bài.",Model-provider map,Domain 2,2.1,Model catalog,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/models-supported.html",14/09/2026
SageMaker Sequence-to-Sequence (seq2seq),"• SEQUENCE TO SEQUENCE
• SUPERVISED LEARNING
• TEXT SUMMARIZATION","SageMaker Sequence-to-Sequence is a supervised algorithm that learns to transform an input sequence into an output sequence using an encoder–decoder architecture with attention. It is appropriate for supported sequence-generation tasks such as translation or summarization, rather than producing only one class label. Training requires correctly formatted source–target sequence pairs, and output quality must be evaluated for the particular task and data.","SageMaker Sequence-to-Sequence là thuật toán có giám sát học cách biến một chuỗi đầu vào thành chuỗi đầu ra bằng kiến trúc encoder–decoder có attention. Thuật toán phù hợp với tác vụ sinh chuỗi được hỗ trợ như dịch máy hoặc tóm tắt, thay vì chỉ tạo một nhãn phân loại. Training cần các cặp chuỗi nguồn–đích đúng định dạng; chất lượng đầu ra phải được đánh giá theo tác vụ và dữ liệu cụ thể.",Phù hợp nhóm bài toán như dịch máy và tóm tắt; tận dụng cách biểu diễn chuỗi thay vì ép đầu ra thành một nhãn duy nhất.,SageMaker built-in seq2seq sử dụng kiến trúc encoder–decoder có attention. Cần dữ liệu huấn luyện ghép chuỗi nguồn–đích và chuẩn bị đầu vào đúng định dạng.,"Trong câu matching có ba lựa chọn RCF, semantic segmentation và seq2seq, chọn seq2seq cho tóm tắt văn bản.",Văn bản dài → chuỗi ngắn chứa nội dung tóm tắt. Xem D2-M27 từ ảnh người dùng.,Không phải API tóm tắt dùng ngay không cần training. FM hiện đại cũng có thể tóm tắt; câu trả lời seq2seq ở đây được giới hạn bởi tập đáp án trong ảnh.,Built-in algorithm,Domain 2,2.1,Algorithms • Bổ sung,Bổ sung Domain 2,"https://docs.aws.amazon.com/sagemaker/latest/dg/seq-2-seq.html
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",14/09/2026
SageMaker Semantic Segmentation,"• EVERY PIXEL
• PIXEL-LEVEL CLASSIFICATION
• SEGMENTATION MASK","SageMaker Semantic Segmentation is a computer-vision algorithm that predicts a semantic class for each pixel of an image. It learns from images paired with segmentation labels and produces a class mask showing regions such as roads, vehicles or people. This provides finer spatial information than image classification, but semantic segmentation does not necessarily distinguish separate object instances belonging to the same class.","SageMaker Semantic Segmentation là thuật toán thị giác máy tính dự đoán lớp ngữ nghĩa cho từng pixel của ảnh. Thuật toán học từ ảnh ghép với nhãn phân vùng và tạo mask lớp thể hiện vùng như đường, xe hoặc người. Đầu ra cung cấp thông tin không gian chi tiết hơn phân loại toàn ảnh, nhưng semantic segmentation không nhất thiết tách riêng từng instance vật thể thuộc cùng một lớp.","Cho biết hình dạng/vị trí vùng theo lớp chi tiết hơn nhãn cấp ảnh; phù hợp cần bản đồ phân vùng như đường, xe, người.",Mô hình học từ ảnh và nhãn phân vùng tương ứng; đầu ra là mask lớp ở cấp pixel. Cùng lớp có thể gồm nhiều vật thể mà không tách riêng instance.,Câu hỏi nhấn mạnh phân loại every pixel hoặc tạo segmentation mask.,"Ảnh đường phố → mask pixel thuộc đường, xe, người. Xem D2-M28 từ ảnh người dùng.","Không nhầm image classification (nhãn ảnh), object detection (khung bao) hoặc instance segmentation (phân biệt từng đối tượng cùng lớp). Đây là thành phần nhận thức, không phải toàn bộ hệ thống lái tự động.",Built-in algorithm,Domain 2,2.1,Algorithms • Bổ sung,Bổ sung Domain 2,"https://docs.aws.amazon.com/sagemaker/latest/dg/semantic-segmentation.html
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",14/09/2026
SageMaker Random Cut Forest (RCF),"• UNSUPERVISED ANOMALY DETECTION
• ABNORMAL DATA POINTS
• ANOMALY SCORE","SageMaker Random Cut Forest is an unsupervised anomaly-detection algorithm that models the structure of numerical data using a collection of randomly partitioned trees. It assigns anomaly scores indicating how unusual individual observations appear relative to the learned structure, with higher scores indicating greater anomaly under the model. It is useful when anomaly labels are scarce, but thresholds and investigation decisions remain application-specific.","SageMaker Random Cut Forest là thuật toán phát hiện bất thường không giám sát, mô hình hóa cấu trúc dữ liệu số bằng tập cây phân hoạch ngẫu nhiên. Thuật toán gán anomaly score thể hiện mỗi quan sát khác thường đến mức nào so với cấu trúc đã học; điểm cao hơn biểu thị mức bất thường lớn hơn theo model. RCF hữu ích khi ít nhãn anomaly, nhưng ngưỡng và quyết định điều tra vẫn cần phù hợp ứng dụng.",Tìm điểm lệch mẫu thông thường khi không có nhãn anomaly đầy đủ; score hỗ trợ ưu tiên điều tra.,RCF dùng tập cây phân hoạch ngẫu nhiên để xây cấu trúc và tính mức bất thường cho đầu vào số. Score càng cao thì điểm càng bất thường theo mô hình.,"Chọn thuật toán cho anomaly detection trên dữ liệu số đa chiều, trong câu hỏi không yêu cầu nhãn sẵn.",Phát hiện điểm bất thường trong dữ liệu cảm biến hoặc giao dịch đã biểu diễn bằng đặc trưng số. Xem D2-M29.,"Score không tự là xác suất gian lận và không chứng minh nguyên nhân. Cần chọn ngưỡng, kiểm chứng alert và đánh giá false positives theo nghiệp vụ.",Built-in algorithm,Domain 2,2.1,Algorithms • Bổ sung,Bổ sung Domain 2,"https://docs.aws.amazon.com/sagemaker/latest/dg/randomcutforest.html
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",14/09/2026
SageMaker AI script mode,"• CUSTOM PYTHON SCRIPT
• PRE-BUILT FRAMEWORK CONTAINER
• MANAGED TRAINING
• FLEXIBILITY / CUSTOMIZATION
• PORTABILITY / REPRODUCIBILITY
• SAGEMAKER INTEGRATION
• SCALABILITY / COST EFFICIENCY","SageMaker script mode executes user-provided training code inside a supported managed framework container. Developers supply an entry point and configure the framework version, data channels, hyperparameters, execution role, computing resources and output location. This preserves control over architecture, loss and training logic while SageMaker manages job infrastructure, making it a middle ground between built-in algorithms and maintaining an entirely custom container.","Script mode của SageMaker thực thi mã training do người dùng cung cấp trong framework container quản lý được hỗ trợ. Người phát triển cung cấp entry point và cấu hình phiên bản framework, data channel, hyperparameter, execution role, tài nguyên tính toán, vị trí output. Cách này giữ quyền kiểm soát kiến trúc, loss và logic training trong khi SageMaker quản lý hạ tầng job, tạo lựa chọn trung gian giữa thuật toán built-in và tự duy trì toàn bộ container.","Flexibility: tự định nghĩa architecture/loss/training loop.
Portability: tách code khỏi hạ tầng, quản lý phiên bản và thử local.
Integration: tiếp tục dùng các thành phần SageMaker.
Scalability/cost: cấu hình compute cho job và giải phóng theo lifecycle.","Viết script → cấu hình entry point, framework/image version, hyperparameters, input channels, execution role, compute/output → gọi API/SDK launch → chạy trên managed infrastructure → lưu model artifact S3.",Khi built-in algorithm không khớp bài toán nhưng pre-built container vẫn đáp ứng runtime; muốn code riêng mà không quản lý Docker image từ đầu.,"Kiến trúc object detection mới bằng PyTorch, không có built-in tương ứng. Xem D2-P17.",Bạn quản lý tính đúng của code và dependencies; version framework phải tương thích. Bài mô tả estimator.fit(); API cụ thể phụ thuộc phiên bản SDK. Không nhầm fit với deployment endpoint.,Managed training capability,Domain 2,2.2,Training options,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/frameworks.html
https://docs.aws.amazon.com/sagemaker/latest/dg/your-algorithms-training-algo-running-container.html",15/09/2026
SageMaker AI bring your own container,"• CUSTOM DOCKER IMAGE
• FULL RUNTIME CONTROL
• ECR IMAGE","SageMaker bring your own container (BYOC) allows a managed training job to use a custom container image containing the required runtime, libraries and training code. The image is published to a registry such as ECR and must follow SageMaker's training input, configuration and output contracts. It provides extensive environment control while retaining managed job execution, at the cost of building, maintaining and testing the image.","Bring your own container (BYOC) của SageMaker cho phép managed training job sử dụng image tùy chỉnh chứa runtime, thư viện và mã training cần thiết. Image được đưa lên registry như ECR và phải tuân thủ quy ước của SageMaker về input, cấu hình, output training. BYOC cung cấp quyền kiểm soát môi trường sâu trong khi giữ cơ chế thực thi job được quản lý, đổi lại cần tự xây, duy trì và kiểm thử image.","Kiểm soát sâu framework, hệ điều hành/libraries và cách chạy thuật toán; vẫn dùng cơ chế submit và quản lý job của SageMaker. Đổi lại tăng công xây dựng, cập nhật và kiểm tra image.",Build image theo hợp đồng training → push ECR → cấu hình image URI trong job → đọc channels/hyperparameters → ghi outputs đúng vị trí → artifact ra S3.,Môi trường đặc biệt mà built-in hoặc script mode không đáp ứng; không chọn BYOC chỉ vì architecture là custom.,Training yêu cầu dependency/runtime riêng ngoài pre-built framework image; D2-P18.,"Image phải tương thích phần cứng và training interface. ECR lưu container image, S3 lưu training data/artifacts; hai loại output không thay thế nhau.",Managed training capability,Domain 2,2.2,Training options,Skill Builder,"https://skillbuilder.aws/learn/2A2SRWD97S/aws-ml-engineer-associate--train-models/PN3Z4R1QTJ
https://docs.aws.amazon.com/sagemaker/latest/dg/your-algorithms-training-algo-running-container.html",15/09/2026
